bedrooms,sqft,neighborhood_encoded,price
1,1141,0,133674
2,1427,1,287719
1,1103,1,226232
4,3201,0,349633
1,833,1,171211
3,2121,0,254125
2,1790,1,368483
5,3449,0,323489
1,925,1,197300
2,1754,1,358517
4,3411,2,1387746
4,3110,0,325098
4,2970,1,595923
2,1348,0,118436
1,1096,2,436265
3,2539,2,1005842
4,3295,1,654292
3,2215,1,454829
2,2258,2,930249
3,1412,1,291320
3,2832,1,551462
1,1142,0,121869
2,1539,0,173849
2,1834,2,726453
3,2072,2,829790
1,1303,1,261820
1,933,1,175827
1,2371,1,484924
1,1437,1,286586
1,2286,2,921693
1,1048,2,406888
3,1995,2,794438
3,2145,1,442836
1,750,0,70408
1,1576,0,184504
1,990,2,391005
1,784,1,161170
3,3471,0,364089
3,1535,0,135225
4,2949,1,567388
1,1338,0,111915
3,2576,0,279539
3,2805,1,555722
1,2327,1,504773
2,1968,1,387136
2,1794,0,184168
1,1612,1,346532
3,3296,0,362691
5,3009,1,637723
4,3399,1,701925
1,960,1,208361
3,2720,2,1099888
5,3321,1,680875
2,1126,1,218932
1,793,0,68027
3,2749,1,552749
3,2266,1,453647
4,3041,0,301302
2,1005,2,414446
4,2906,1,599530
2,1185,2,477326
1,1075,1,238163
2,1076,2,415275
3,2962,1,592495
4,2529,1,499048
2,2117,1,397402
3,1641,0,165860
4,3144,1,630974
1,1738,1,371302
3,2968,0,309262
2,1873,1,361237
2,1693,0,199111
3,1942,2,798116
1,1474,2,599331
3,2768,2,1106803
4,2058,1,401208
3,1273,0,124717
4,3209,2,1303931
2,1713,1,372869
3,2176,2,896549
4,3229,2,1288267
2,2410,2,949206
1,939,1,190913
3,3326,1,641673
3,2420,2,975848
2,1571,1,313986
1,1004,0,94409
4,2903,1,560679
2,2398,2,968904
1,2147,1,422409
4,3192,1,624851
4,2887,0,249616
2,1040,1,209587
1,1504,2,629184
2,1321,0,159019
3,2757,1,547544
1,697,2,270767
3,2253,1,460632
4,2811,1,551224
2,3143,1,635127
3,1592,1,332891
4,2982,1,618804
1,921,2,367898
4,3055,2,1222945
1,970,2,375830
2,1752,2,690397
3,2912,1,582003
1,1035,1,213510
1,1265,2,520704
4,2695,1,530952
3,2688,1,562990
2,2459,2,981533
3,2612,2,1047479
1,2174,1,424592
2,1330,1,231636
1,1603,0,174561
1,1127,1,237453
3,3235,0,322280
2,2292,1,461405
3,1762,1,363139
2,1940,1,366562
4,3347,1,665464
1,1045,0,117414
3,2300,0,214186
2,2067,2,833203
2,2373,1,456251
1,653,0,73296
3,3129,1,628265
3,3303,2,1299973
2,2239,0,243371
4,2620,1,516981
4,3275,0,319346
3,2651,0,271109
1,1042,1,226630
2,2271,1,440963
4,2359,1,476725
2,1830,1,374432
3,2736,2,1107797
4,3310,1,668647
4,3284,1,655295
2,1907,2,752386
1,928,1,187892
4,3456,1,679118
3,3033,0,262480
2,962,0,104748
4,3270,2,1325559
4,3123,2,1217756
2,2105,1,407854
3,2315,1,475287
1,1757,0,207562
1,759,0,77212
2,1572,1,305480
4,2928,1,586857
1,613,1,144223
3,1567,1,306711
2,1755,1,341012
3,2158,2,858959
3,3268,1,642300
2,1604,1,324640
1,1606,1,346570
3,2739,1,555646
3,1911,0,190315
1,1251,1,246823
2,1912,2,743352
2,1008,0,116047
2,1112,0,112032
2,2045,0,203793
2,1815,0,231397
5,3253,2,1310681
2,1651,1,320923
3,2284,1,453405
3,2434,0,263627
1,638,1,130299
4,2524,1,487226
2,1116,0,127388
3,3387,1,670378
2,1031,1,236299
1,1802,1,377601
1,848,1,163890
3,3491,0,371315
2,2056,1,414218
3,2327,1,481192
1,795,1,167271
3,2775,2,1100305
2,1209,1,234147
4,3204,0,339849
1,1195,0,115478
2,1153,1,226545
2,706,0,58273
1,1969,1,401154
3,2238,2,929138
1,791,1,143187
3,2849,1,573163
3,1915,1,407183
2,2121,1,425005
2,1878,1,384386
2,1762,2,690864
2,2223,1,453025
1,1050,2,418193
1,1128,2,466986
5,3099,0,332711
3,3344,0,376243
1,1683,0,177994
1,1385,0,144387
2,2468,0,251716
1,1785,1,352703
2,674,0,74477
2,1053,1,208169
2,2676,2,1074927
4,2511,0,274864
1,679,2,257502
1,1244,1,266898
1,1270,0,147757
4,2548,1,511829
1,657,1,100572
1,902,2,352683
4,2920,1,607455
3,1118,2,449857
4,2493,1,487610
2,1291,0,123528
1,888,2,368809
2,1305,2,532201
4,2695,2,1078416
4,3082,1,614898
3,3008,1,598724
2,1752,2,688964
2,2537,1,533631
1,1194,2,473765
1,1450,2,599257
3,3199,1,665620
1,638,2,271175
1,848,2,333726
1,1203,0,127356
2,677,2,272437
2,1126,1,213644
1,2291,2,922265
1,1822,1,347714
4,3189,2,1297415
3,2971,1,590231
2,1591,0,164117
2,1352,2,547049
1,1701,0,167216
3,2312,1,474200
1,1377,2,544676
2,2410,2,979069
2,1787,1,339210
1,2201,1,443096
2,1865,1,404084
2,1454,1,277795
4,3351,1,664034
3,2814,1,573509
2,1006,2,407094
4,3119,2,1256859
2,2014,2,814938
4,3194,0,332921
4,2920,1,604645
2,1833,0,191447
1,665,1,130381
1,1379,1,286889
2,2171,2,898898
2,2437,1,487410
3,1348,0,123182
1,1004,0,118006
3,3021,2,1209594
3,3455,1,661410
3,2125,0,228211
1,1098,0,102770
2,1390,1,278642
1,653,0,71280
4,3251,2,1307257
1,941,1,199842
4,2272,0,224668
1,1395,0,148197
3,2207,2,881907
3,2489,1,511882
4,3006,1,614431
1,1199,2,466568
1,632,2,270090
1,997,2,391761
3,3210,2,1299121
4,3134,1,636309
4,2332,0,264773
2,2341,2,935048
2,2529,1,502560
1,1109,1,222509
5,3252,2,1301252
1,1814,0,194399
3,1711,1,320955
4,2105,0,198695
1,736,1,132183
2,1082,0,124455
4,2740,0,303659
1,840,0,83433
2,2349,1,469268
1,1312,1,264451
1,1729,1,364228
1,1437,2,561890
1,1631,1,330776
3,2685,1,554628
1,1462,2,593316
3,2243,0,230144
1,1981,2,808416
3,2525,0,214952
4,3317,2,1340968
2,2724,0,264589
2,1223,2,463741
2,690,1,147668
1,1361,2,566005
4,2326,0,234538
1,749,1,165093
2,2039,2,841784
3,2331,1,488924
2,1569,1,340399
3,2836,1,581332
1,909,1,183932
1,818,1,140571
3,2712,1,541709
1,2037,2,803151
3,2596,0,295164
1,1861,1,370562
1,1315,2,528848
4,2975,2,1202272
4,2918,1,588254
3,2615,1,551426
1,1389,1,269460
2,2312,0,236119
3,1647,1,321263
1,866,1,154400
5,3260,1,647823
1,997,0,100144
4,3356,2,1339960
2,1893,2,748814
