,movie_title,content_rating,genres,runtime,top_critic,review_content,recommended
58707,Red Eye,PG-13,"Action & Adventure, Mystery & Suspense",85.0,False,[T]horoughly enthralling and completely rip-rousing...,1
660451,Polisse,NR,"Art House & International, Drama",127.0,False,Without significant star power it may require word of mouth and further festival exposure to help it grab attention stateside.,1
146340,Ask the Dust,R,"Documentary, Drama",117.0,False,"The upshot is a careful, deliberately old-fashioned picture which has many admirable qualities.",1
137701,Anonymous,PG-13,"Art House & International, Drama",130.0,False,From the man who brought you Godzilla and 2012...a loud and ludicrous historical rewrite about the supposed hidden authorship of Shakespeare's plays,0
69046,Elegy,R,Drama,111.0,True,"Of all the good actors who have adorned the middle-aged-professor films, Ben Kingsley, in Elegy, is the most formidable and convincing.",1
25865,Risky Business,R,Comedy,96.0,False,Good '80's teen movie with a suitable soundtrack and the loveable Cruise displaying his new found starry confidence.,1
215435,Buried,R,Mystery & Suspense,94.0,False,"As Hollywood continues to expand its bloated visions and forsakes the very tenets of basic storytelling, Rodrigo Cortés and Ryan Reynolds go just about as small as film can go and yet deliver a vastly entertaining cinema experience.",1
1112931,Wolf Creek,R,"Action & Adventure, Horror, Mystery & Suspense",95.0,True,The film's preference for female suffering gives it a misogynist undertow that's even more unsettling than the gore.,0
401845,Happy Feet,PG,"Animation, Comedy, Kids & Family",108.0,False,The long march across the Antarctic wasteland ... sometimes feels just as arduous as the real thing.,0
1061442,The Twilight Saga: New Moon,PG-13,"Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",130.0,True,Director Chris Weitz proves that The Golden Compass was no fluke: He really is a non-master of action.,0
370120,Get on the Bus,R,Drama,120.0,False,Now this is a road picture!,1
1097615,What If,PG-13,Comedy,102.0,False,"The 'com' is fresh, even if the 'rom' feels a little stale.",1
897464,Summer of Sam,R,"Drama, Mystery & Suspense",142.0,False,How does Spike Lee do it? How can he make films that are among the best we've seen and then go on to make this?,0
339274,Feel the Noise,PG-13,Drama,87.0,False,A horrid excuse for teen escapism...for those who find Hannah Montana too challenging.,0
1054928,Trial by Fire,R,Drama,127.0,True,"""Trial by Fire"" is not a feel-good movie. It's a feel-bad movie. Yet somehow, if you go in expecting that, you might enjoy it in a weird way.",1
496494,Knight of Cups,R,"Drama, Romance",118.0,False,"More often than not Malick's pursuit of beauty feels like self-parody, culminating in a frustrating experience where meaning is as elusive as plot.",0
393541,Grizzly Man,R,Documentary,103.0,False,"His film is a subtle and deeply moving tribute to a flawed idealist who saw kinship in bears' eyes, where Herzog sees only the abysmal indifference of nature.",1
423250,Horrible Bosses,R,Comedy,98.0,False,"Like The Hangover, the genius of Horrible Bosses lies in the fact it takes the simplest of concepts and builds upon it with hilarious non-stop laughs.",1
791747,Shaolin Soccer,PG-13,"Action & Adventure, Art House & International, Comedy",111.0,False,"Despite more than 400 visual effects from Hong Kong's leading CGI shop, Centro Digital Pictures, the film's narrative manages to retain a sweet-natured feel.",1
579388,Mission: Impossible 2,PG-13,"Action & Adventure, Mystery & Suspense",123.0,False,"While there isn't anything in M:I-2 as memorable as the first film's scene with Cruise dangling over a computer terminal, it's a more visceral experience overall.",1
791453,Shanghai Noon,PG-13,"Action & Adventure, Comedy, Western",110.0,True,"As western spoofs go, though, Shanghai Noon is whooping good fun.",1
476860,Johnny English Strikes Again,PG,Comedy,88.0,False,Spy comedy misses the mark; loads of action violence.,0
572645,Midsommar,R,Horror,145.0,False,"(Aster's) confidence in his cleverness can overwhelm Midsommar, but his fearlessness is also captivating to watch explored on screen.",1
888004,Stranger Than Fiction,PG-13,"Comedy, Drama, Romance",105.0,False,"This movie is to Ferrell what The Truman Show was to Jim Carrey, the film that allows the comic to put both feet on the ground -- and to stimulate a full range of emotions.",1
538042,Love Liza,R,Drama,90.0,False,"After a while, Hoffman's quirks and mannerisms, particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial.",0
9020,Public Enemies,R,"Action & Adventure, Drama",140.0,False,"After all the gunfire exchanges, there's not much time for the human exchange. Neither for the leads or the colorful secondary characters. Such glorious acting talent, gone up in so much machine gun smoke.",1
837039,Something in the Air,NR,Drama,122.0,False,"This sharply well-made French drama tackles an offbeat chapter in history with real skill, although the densely populated screenplay and fragmented approach to storytelling makes it difficult to engage with.",1
801586,Shopgirl,R,"Comedy, Drama, Romance",116.0,False,"threatens to turn into the latest update of 'Pretty Woman' (but) an inescapable undercurrent of sadness flows through the movie and through its characters, which gives 'Shopgirl' a wistful, often downright bluesy tone.",1
607359,Never Die Alone,R,"Action & Adventure, Drama, Mystery & Suspense",88.0,False,"Sure, the bends in logic are nutty, and some of the dialogue is so outrageously street that it's laughable, but the larger-than-life star works it with everything he's got. It's a decent deal.",1
951811,The Fate of the Furious,PG-13,"Action & Adventure, Drama",136.0,True,"In the words of Kurt Russell's FBI maverick, Mr Nobody: ""Rule number one. Know your audience."" The powers-that-be certainly know us.",1
625672,On the Basis of Sex,PG-13,Drama,120.0,False,"There's a rosiness here that feels akin to recent socio-political celebrations on film, such as The Post and Hidden Figures, but then this film doesn't always find a way to ground itself amidst its good feels.",0
206703,Bridesmaids,R,Comedy,125.0,False,"The funniest movie of the year. Unlike 'Hangover,' the film doesn't rely on sexism, homophobia and racial epithets to hit a punch line.",1
207847,Bridget Jones's Baby,R,"Comedy, Romance",122.0,True,It's like reuniting with old friends you didn't realize you missed so much.,1
211336,Brooklyn's Finest,R,"Action & Adventure, Drama",125.0,False,"Somebody must have drawn up a computer program on Crash-like multi-narrative screenplays, because it's infected the system and won't go away.",0
734385,Rocketman,R,Drama,121.0,False,Taron Egerton shines as Elton John in one of the best musical biopics in recent memory.,1
92585,47 Ronin,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",119.0,False,"This $175million Hollywood reworking of Japan's most celebrated tale of honour and revenge is a mostly plodding affair, notwithstanding some fantastical sword-and-sorcery flourishes.",0
487001,Kapo,NR,"Action & Adventure, Art House & International, Drama",116.0,False,"Pontecorvo is not the visionary firebrand of The Battle of Algiers here. He cares about the subject passionately--as a Jew, and as a Communist leader in the Italian Resistance--but he turns it into pap.",0
482786,Jupiter Ascending,PG-13,"Action & Adventure, Science Fiction & Fantasy",127.0,False,Provides such a tilted spin on a familiar genre that it's easy to pardon some of the labored excesses.,1
536356,Love & Friendship,PG,"Comedy, Drama",93.0,False,"Stillman's rounded-out and embroidered telling is the kind of movie people call ""delicious,"" ""sparkling,"" and ""a comic romp,"" and it is indeed all of those.",1
496019,Klovn: The Movie (Klown),R,Comedy,91.0,False,A gleefully rude Danish wronging-of-age comedy.,1
708456,Redacted,R,"Documentary, Drama",91.0,True,"I don't know when De Palma has ever been accused of being sincere, but Redacted feels to me as close as he's ever come.",1
95758,The Rum Diary,R,"Action & Adventure, Comedy, Drama",119.0,False,Johnny Depp gets lost in paradise and a film with no plot.,0
1041658,Till Human Voices Wake Us,R,"Art House & International, Drama, Mystery & Suspense",101.0,False,A real snooze.,0
552928,Mandy,NR,"Action & Adventure, Mystery & Suspense",121.0,False,"It's the perfect role for Cage, and it's one he embraces wholeheartedly.",1
291674,Dirty Dancing: Havana Nights,PG-13,"Drama, Romance",86.0,False,"The movie made me smile. The stars have genuine charm, and the script is smarter about their relationship than one might expect.",1
807609,Side Effects,R,"Drama, Mystery & Suspense",105.0,True,What a gripping and disturbing thriller this is. Surely it can't be Soderbergh's last movie. Say it ain't so.,1
1057676,True History of the Kelly Gang,R,Drama,124.0,False,"By opening with a disclaimer that everything we'll see isn't real, Kurzel effectively gives himself an excuse to make something we have no reason to invest in. It succeeds in terms of pure style, but will fade from the memory.",1
1115937,Won't You Be My Neighbor?,PG-13,Documentary,94.0,False,"Director Morgan Neville captures the essence of the Rogers brand, while also revealing the practical man behind the program...",1
1005053,The Post,PG-13,"Drama, Mystery & Suspense",115.0,False,"The Post is a brave movie - perhaps even braver than its biggest inspiration, All the President's Men.",1
634634,Out of Time,PG-13,"Action & Adventure, Drama, Mystery & Suspense",105.0,False,.,1
1126980,Z,PG,"Art House & International, Drama, Mystery & Suspense",127.0,True,"The recreation of the murder and the subsequent investigation uses the techniques of an American thriller to gripping effect, though conspiracies are so commonplace nowadays that it's hard to imagine the impact it made at the time.",1
207788,Bridget Jones's Baby,R,"Comedy, Romance",122.0,False,BRIDGET JONES'S BABY is an amiable romantic triangle that satisfies with humor and heart.,1
1113605,Woman in Gold,PG-13,Drama,111.0,False,"The film lets us see the tensions and sadness that are inevitable in a story like this, but also offers some wry humor.",1
478030,Jonas Brothers: The 3D Concert Experience,G,"Documentary, Musical & Performing Arts",86.0,False,This toe-curling dip into the sickly-sweet musical world of the Jonas brothers is innocuous and dull.,0
795550,Sheitan,NR,"Art House & International, Comedy, Horror, Mystery & Suspense",94.0,False,"Manages a playful sensibility, reveling in its repugnance and enjoying the heck out of its twisted ending.",1
140274,Anvil! The Story of Anvil,NR,"Documentary, Drama, Musical & Performing Arts",85.0,False,Forget that overhyped Slumdog Millionaire - THIS is the feel-good film of the year.,1
139138,Antebellum,R,"Horror, Mystery & Suspense",106.0,False,"Antebellum sells itself as a horror film, but without proper gravitas, the execution lands closer to uncomfortable exploitation.",0
421118,Home Again,PG-13,Comedy,97.0,False,"Home Again doesn't seem to be particularly concerned with story development - probably a fifth of the movie is made up of montages, all jaunty music and well-lit actors more fitting in a sunscreen commercial.",0
794770,Shazam!,PG-13,"Action & Adventure, Science Fiction & Fantasy",132.0,True,"It's an interesting departure for Swedish horror director David F. Sandberg (Annabelle: Creation, Lights Out), who proves he has more tricks up his sleeve than just things that go bump in the night.",1
58228,The Honeymooners,PG,"Comedy, Drama, Television",90.0,False,"It has charm. That's enough to make it tolerable, while still being firmly rooted as just a big screen sitcom.",0
493754,Kings of the Evening,PG,Drama,100.0,False,It moves briskly but leaves room for the stellar supporting cast to turn stock figures into appealingly shaded characters.,1
190833,Blinded by the Light,PG-13,"Comedy, Drama",114.0,False,"Perhaps if Yesterday had not preceded the release of Blinded by the Light, my expectations wouldn't have been so high, but this film truly disappoints.",0
524674,Lions for Lambs,R,Drama,92.0,False,Score one for Robert Redford.,1
581804,Modern Life (Profils paysans: la vie moderne),PG,"Art House & International, Documentary, Special Interest",88.0,True,The pastoral beauty of the scenery and the lyrical journey of Depardon's camera are underscored by a sense of acute melancholy and hopelessness in this affecting film.,1
620999,Ocean's 8,PG-13,"Action & Adventure, Comedy",110.0,False,"Plot is what is too often missing in ""Ocean's 8,"" but assets like a slick plan and Hathaway providing more ham than a ham sandwich can make up for some liabilities.",1
506961,The Last Castle,R,"Action & Adventure, Drama, Mystery & Suspense",131.0,True,A problem drama suffering from a steroid overdose.,0
10464,Push,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",111.0,False,A better-than-average sci-fi thriller with genuine jolts and unexpected texture.,1
644519,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),NR,"Art House & International, Classics, Drama",77.0,False,"La Passion d'Jeanne d'Arc, though static and experimental, has some of the most beautiful close-ups in the history of cinema, and ranks high for emotional quality.",1
426436,Hotel Transylvania 3: Summer Vacation,PG,"Animation, Comedy, Kids & Family",97.0,False,"The film is quite agile, light and fun. [Full Review in Spanish]",1
126748,American Beauty,R,"Comedy, Drama",122.0,True,"Why, then, did I enjoy it so little? Because of its unrelenting self-importance: American Beauty wants us to know, in every shot at every turn, just how clever and mercilessly cutting it is.",0
912952,Taxi,PG-13,"Action & Adventure, Comedy",97.0,False,"Films that are such an abhorrent waste of time and talent you wish a truck would come by and smash you to little itty bits and pieces, for at least in death the pain would finally be over.",0
432669,Hunger,R,"Art House & International, Drama, Special Interest",92.0,False,"It's by Irish video artist Steve McQueen (yes, that's his name), and it's his visually arresting take on the 1981 hunger strike by IRA leader Bobby Sands, ultimately leading to his death, and the deaths of nine other inmates at Belfast's Maze Prison.",1
225726,Carol,R,"Drama, Romance",118.0,False,"[Carol] gets a suitably lush treatment by Todd Haynes, who created a film recalling the best work of that noted 1950's auteur Douglas Sirk.",1
898378,Sunrise: A Song of Two Humans,NR,"Classics, Drama, Mystery & Suspense, Romance",110.0,False,One of the most moving and technically sound films ever produced.,1
259569,Tim Burton's Corpse Bride,PG,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",76.0,False,"At times this stop-motion animated feature is grotesque, even a bit creepy and scary (it's probably a bit much for really young ones). But it's just as often achingly sweet, and features some grand, sweeping romantic notions.",1
572643,Midsommar,R,Horror,145.0,False,"Aster's heroes start knocked off-balance by grief. This makes them more open to new experiences and ideas, but also susceptible to whatever evil lurks in the vicinity.",1
531385,Long Shot,R,Comedy,123.0,False,Shot gives Theron a long-overdue chance to show off her comedic chops.,1
829776,Snitch,PG-13,"Action & Adventure, Drama, Mystery & Suspense",112.0,False,The dearth of new movies at the multiplex and Dwayne Johnson's draw may make for a lucrative opening weekend but not beyond.,0
1106101,Why Don't You Play in Hell?,NR,"Action & Adventure, Art House & International",129.0,True,A middle-aged filmmaker's tribute to the kind of epic-sized gangster-romance he used to fantasize about making.,1
341814,Fighting,PG-13,"Action & Adventure, Drama",105.0,True,Disarmingly entertaining.,1
608953,Next,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",96.0,False,"Although it has some fun effects and trademark Cage zingers, Next can't overcome just how goofy, and even uninteresting, it is.",0
850574,Speed Racer,PG,"Action & Adventure, Drama",135.0,False,A sports-story fantasy that burns at an octane level too high to rate. So why was I nearly overcome by the fumes and the whiplash?,0
540022,Loving Vincent,PG-13,"Animation, Drama",95.0,False,The film shines with an overwhelming originality. [Full Review in Spanish],1
249364,Coco,PG,"Action & Adventure, Animation, Comedy, Kids & Family",109.0,False,Adrian Molina and Matthew Aldrich's screenplay constantly surprises with its inspirations...,1
244357,Cidade de Deus (City of God),R,"Action & Adventure, Art House & International, Drama",131.0,False,"For all their straddling of the line between realism and exploitation, entertainment and education, it's entirely possible that Meirelles and Lund render that line invisible.",1
698874,Ready or Not,R,"Horror, Mystery & Suspense",95.0,False,"Ready or Not is a wicked, wild ride.",1
456808,The Interpreter,PG-13,"Action & Adventure, Drama, Mystery & Suspense",123.0,False,"This smart, adult political thriller is the most satisfying movie to be released by a major distributor so far this year...Pollack's best film since 1993's ""The Firm""",1
997845,The Nice Guys,R,"Comedy, Drama",116.0,False,"The duo's swearier Abbott and Costello routine is an endless riot, fueled mainly by Gosling's full-bodied nervy cowardice. His high-pitched girlish scream is ever so beautiful.",1
865418,Stanley & Iris,PG-13,"Drama, Romance",104.0,False,"While some of the sloppy filmmaking can be forgiven, the film's core message cannot.",0
951486,The Farewell,PG,"Comedy, Drama",100.0,False,It's gratifying to stumble into a movie operating at the scale of people.,1
974627,The Imitation Game,PG-13,"Drama, Mystery & Suspense",113.0,False,An enthralling spy thriller-turned-prestige bio pic that features a world-class performance by Benedict Cumberbatch.,1
341335,Fifty Shades of Grey,R,Romance,125.0,True,"I'm shocked - shocked, do you hear me?!? - that the film version of E.L. James' Fifty Shades of Grey is such a dull, decorous affair, about as erotic as an ad for Pottery Barn. Strictly intended for gluttons for punishment-by boredom.",0
723518,Riding in Cars With Boys,PG-13,"Comedy, Drama",132.0,False,Penny Marshall's tin ear for drama prompts audience laughter at the most horrific scenes.,0
954754,The Florida Project,R,Drama,115.0,False,"Newcomer Brooklynn Prince is pure magic; a firecracker of intensity and confidence, this girl is a star.",1
349436,Flicka,PG,"Drama, Kids & Family",95.0,True,"Horse-mad tweens may not notice its flaws, but with a defter touch, even this familiar story might have made for a more exciting ride.",0
287389,Detour,R,Drama,97.0,False,Two lives collide with devastating results in German filmmaker Nina Vukovic's impressive debut feature.,1
790280,Skammen (Shame),R,Drama,103.0,False,"""What a wonder is a gun,"" opined one-time Bergman adapter Stephen Sondheim.",1
159090,Bad Times at the El Royale,R,Mystery & Suspense,141.0,False,Drew Goddard's Bad Time's at the El Royale is a beautifully shot film with a fun setting and exciting premise that doesn't deliver on the promise it sells.,0
441845,Identity,R,"Horror, Mystery & Suspense",90.0,False,A good cast is enacting this fancy rubbish; what drew them to the material besides its self-conscious cleverness is beyond me.,0
904995,Sweet Land,PG,"Art House & International, Drama",110.0,False,"The flashback structure adds nothing but length to an already awkward mix of humanist-socialist parable and gently halting love story that's been sat on a shelf since 2005. But even so, it's a surprisingly sweet little treat.",1
154312,Baarìa,NR,"Art House & International, Classics, Comedy, Drama",150.0,False,"Baaria is like a pleasant package holiday: alfresco dinners, strolls through lemon orchards.",1
539713,Loving,PG-13,Drama,123.0,False,"...[a] tender film about ordinary people caught up in an extraordinary moment of our revolving, repeating history.",1
907428,T2 Trainspotting,R,Drama,117.0,True,"Though the film feeds on its forerunner, it's worthwhile on its own terms.",1
1117244,World Trade Center,PG-13,Drama,129.0,False,"With a combination of painstaking detail and tactful emotion, [Stone and Berloff] keep Hollywood sentimentality at bay to depict an event that is overwhelming on its own.",1
901135,Super Size Me 2: Holy Chicken!,PG-13,Documentary,93.0,True,Jaunty but thought-provoking ...,1
822549,Sleeping Beauty,NR,"Art House & International, Drama",101.0,False,[Director Julia] Leigh shows great confidence as a visual stylist and director of actors.,1
1092365,We are Wizards,NR,"Documentary, Special Interest",79.0,False,"Breakthrough film maker Josh Koury's latest documentary manages to go to the head of the parade of Potter fans, but the average viewer may not be sure why he went to the trouble.",0
786612,Sex Tape,R,Comedy,94.0,False,"It is a bland, clawless comedy; a cautionary tale of a high concept gone horribly, horribly wrong.",0
446486,In Her Shoes,PG-13,"Comedy, Drama",129.0,False,Languid pacing drags it on well past its welcome.,0
477748,Le Joli Mai,NR,"Documentary, Drama, Special Interest",124.0,True,Documents on-the-street talks with a wide variety of Paris residents.,1
270081,Damsel,R,Comedy,113.0,False,"If you're looking for a revisionist western, you could do a hell of a lot better - Damsel couldn't carry the water of The Missouri Breaks.",0
785541,Sex and the City 2,R,"Comedy, Romance",147.0,False,"Women, this isn't empowerment; it's like watching Us Weekly prank call the New York Times.",0
1102094,While She Was Out,R,"Action & Adventure, Horror, Mystery & Suspense",88.0,True,The spectacular ending will make every harried housewife in the world ecstatic.,1
1034043,There's Something in the Water,NR,Documentary,73.0,False,"This is a tough and very watchable little movie. And since you've finished Tiger King and you still have plenty of time on your hands, you may as well give it a spin.",1
243993,City of Angels,PG-13,"Drama, Science Fiction & Fantasy, Romance",117.0,False,"An old-style Hollywood love story, a multi-hanky weeper.",1
889068,Street Kings,R,"Action & Adventure, Drama, Mystery & Suspense",107.0,False,"Laid-back actor Reeves is thoroughly unconvincing, and so is the film as a direct result.",0
435100,I Am Not a Serial Killer,NR,"Drama, Mystery & Suspense",104.0,True,"A uniquely wry tone sets the film apart. I Am Not A Serial Killer is unmistakably a drama, but it's a strangely cheerful one given its dark subject matter.",1
430435,How to Train Your Dragon 2,PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",102.0,False,"Toothless is so vividly, viscerally animated, I worry a child will look askance at her own humble dog and peevishly wonder why Fluffernutter can't fly, or at the very least breathe fire.",1
330268,Extremely Loud & Incredibly Close,PG-13,Drama,129.0,True,[An] intensely self-conscious movie that contrives to make the human cost and human meaning of 9/11 distant and faint.,0
270134,Damsels in Distress,PG-13,Comedy,99.0,True,"Too ethereal to be a satire and too arch to be a psychologically recognizable character portrait, Damsels in Distress flits prettily by without ever finding anything to be about.",0
199597,Born Romantic,R,"Art House & International, Comedy, Drama",97.0,True,Is whimsicality the last refuge of the mediocre?,0
92111,45 Years,R,Drama,93.0,False,"A reminder that films can reach the level of art on rare occasions. This is a tour de force of script, performance and cinematography that will stay with you for years.",1
661181,Poms,PG-13,Comedy,91.0,False,"There's strong comedic chemistry between its largely female cast and there's some well-delivered banter between two great actresses, Diane Keaton and Jacki Weaver.",1
404759,Harry Potter and the Deathly Hallows - Part 2,PG-13,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",131.0,False,"A fitting, shocking, exciting, mind blowing experience even the haters and contrarians will begrudgingly admit is pretty awesome.",1
38769,Fallen,R,"Animation, Drama, Mystery & Suspense",124.0,False,"A masterful supernatural thriller, using simple techniques to remarkable effect.",1
115690,Ain't Them Bodies Saints,R,Drama,95.0,False,"As befits any postmodern Western, Ain't Them Bodies Saints necessarily addresses the idea of the death of the Western, or the death of the West as we have known it.",1
436037,I Capture the Castle,R,"Art House & International, Comedy, Drama, Romance",111.0,False,"Romala Garai is utterly convincing as the smart, wistful girl with the notebook.",1
362056,From Justin To Kelly,PG,"Comedy, Musical & Performing Arts, Television, Romance",81.0,True,From Justin to Kelly is all about earnest boy-girl courtship and buoyant musicality.,1
102394,A Private War,R,Drama,110.0,False,"The war scenes have a you-are-there quality, gripping and vivid. But the scenes at the newspaper, where editors clutch their collars and say ""the world needs to hear this"" feel a bit self-congratulatory.",1
328477,Exodus: Gods and Kings,PG-13,"Classics, Drama",150.0,True,"This eye-rollingly bad movie is silly, sluggish and miscast.",0
821476,Slackers,R,Comedy,86.0,False,"It's several good jokes, a whole lot of character development and some skilled direction away from crossing the line from moronic to crudely inspired.",0
892135,Stuntwomen: The Untold Hollywood Story,NR,"Action & Adventure, Documentary",84.0,False,It's engaging as it weaves personal interviews with a treasure trove of archival footage and images. You really get to understand the history and the struggles these women face every day.,1
953408,The Final Year,NR,Documentary,89.0,False,"Sobering nostalgia for what White House competence, high purpose and good intentions looked like.",1
1105684,Whores' Glory,NR,"Documentary, Special Interest",110.0,False,"While the director does make overtures in the wrong directions, he usually seems to know where to steer his material.",1
509261,The Last Stand,R,"Action & Adventure, Mystery & Suspense",106.0,False,"There are echoes here of Howard Hawks' classic 1959 Western Rio Bravo, in which John Wayne played a similarly beleaguered sheriff trying to prevent a jailbreak with the aid of a bunch of misfits.",1
1100039,When Did You Last See Your Father?,PG-13,Drama,92.0,False,...a movie that would probably be better off as a poem.,0
885085,Stories We Tell,PG-13,Documentary,108.0,False,"One of the year's best films: funny, moving, thought-provoking - and so personal that it strikes universal chords.",1
753320,Safety Not Guaranteed,R,"Comedy, Drama",84.0,False,"If safety isn't guaranteed by the film's title, a viewer's satisfaction with this genial, warm-hearted movie pretty much can be.",1
364394,Fun Size,PG-13,Comedy,86.0,False,Even the good gags are robbed of their punch by the pedestrian way the movie was shot and cut.,0
349888,Le Voyage du Ballon Rouge (The Flight of the Red Balloon),PG,"Art House & International, Drama",114.0,True,Too contrived and self-reflexive for my tastes.,0
597816,My Perestroika,NR,"Documentary, Special Interest",87.0,True,"There is little discussion of the Putin regime, but it will be interesting to see what today's kids will say about it 25 years from now.",1
139444,Antitrust,PG-13,"Action & Adventure, Drama, Mystery & Suspense",107.0,False,...the film remains a cut above its geared-towards-teens thriller brethren...,1
902453,Superman Returns,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",154.0,False,"I'm battening down the hatches as I write this (sticks and stones may break my bones, but fanboy e-mails will never hurt me), because the truth is Superman has always struck me as a generic character.",0
79035,Furry Vengeance,PG,"Comedy, Kids & Family",91.0,False,Brendan Fraser: Human being or cartoon character?,0
773616,The Secret in Their Eyes (El Secreto de Sus Ojos),R,"Art House & International, Drama, Mystery & Suspense, Romance",127.0,False,"Gorgeously filmed with passion and artistry, this provocative story of the tenacity of justice ... is literally breathtaking filmmaking on every level",1
597853,My All American,PG,Drama,118.0,False,All of the film's nuances are are ultimately negated by the its relentless canonization of its subject.,0
475968,John Wick: Chapter 2,R,"Action & Adventure, Drama",122.0,False,"Makes the case for the Wick franchise as a kind of bizarro James Bond...This antihero may not be licensed to kill, but now he lives in a similarly slick universe of action fantasy and exotic settings.",1
378418,Gloria,R,"Art House & International, Drama",109.0,True,"Gloria is a sad, painful romantic story.",1
1075029,Valentine's Day,PG-13,"Comedy, Romance",119.0,True,"This feels less like a movie and more like a strategically programmed effort to turn as many demographic groups as possible into mooshy, gooshy, candy-heart-munching morons.",0
644299,Passengers,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",111.0,False,Couldn't she have been the mechanic? Or could Jim have been the cook? Something to attempt a realistic representation of non-Hollywood genders?,0
958639,The Girl on the Train,R,"Drama, Mystery & Suspense",112.0,False,"The Girl On The Train appears to have been written on one, juddering to its destination faster than the speed of sense.",0
461171,Iron Man 3,PG-13,"Action & Adventure, Science Fiction & Fantasy",130.0,True,This new Iron Man movie is probably the strongest of the series. The emphasis is on flip fun all the way.,1
510816,Lawless,R,Drama,115.0,False,"Complex, horrifying, pitch-perfect and exceedingly well acted, it's the near-brilliant film you never expected at the end of summer.",1
187291,Blackhat,R,"Action & Adventure, Drama",134.0,False,Get over the shock of seeing Chris Hemsworth as a keyboard-clicking computer hacker rather than a hammer-heaving Marvel hero and Michael Mann's stylish cyber thriller Blackhat will soon have you gripped and intrigued.,1
181846,Bird Box,R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",124.0,False,"The characters are basically delivery systems for the film's metaphors, and the actors can't access much beyond the basics -- fear, love -- in the moment.",0
79137,Warrior,PG-13,"Action & Adventure, Drama",139.0,True,"All in all, though, Warrior wins on points, even with a resolution that didn't work for me.",1
833614,Solaris,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance",99.0,True,"Scripted, shot, directed and edited by Soderbergh with his customary intelligence and assurance, this is perhaps the most ambiguous and cerebrally sophisticated Hollywood movie in nearly three decades.",1
