ShapeName,Profile,Midcurve,Profile_brep,Midcurve_brep
I_scaled_5,"[[25.0, 25.0], [50.0, 25.0], [50.0, 100.0], [25.0, 100.0]]","[[37.5, 25.0], [37.5, 100.0]]","{""Points"": [[25.0, 25.0], [50.0, 25.0], [50.0, 100.0], [25.0, 100.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[37.5, 25.0], [37.5, 100.0]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_scaled_5,"[[25.0, 25.0], [50.0, 25.0], [50.0, 150.0], [175.0, 150.0], [175.0, 175.0], [25.0, 175.0]]","[[37.5, 25.0], [37.5, 162.5], [175.0, 162.5]]","{""Points"": [[25.0, 25.0], [50.0, 25.0], [50.0, 150.0], [175.0, 150.0], [175.0, 175.0], [25.0, 175.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[37.5, 25.0], [37.5, 162.5], [175.0, 162.5]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_scaled_5,"[[0.0, 125.0], [50.0, 125.0], [50.0, 225.0], [75.0, 225.0], [75.0, 125.0], [125.0, 125.0], [125.0, 100.0], [75.0, 100.0], [75.0, 0.0], [50.0, 0.0], [50.0, 100.0], [0.0, 100.0]]","[[62.5, 0.0], [62.5, 112.5], [62.5, 225.0], [0.0, 112.5], [125.0, 112.5]]","{""Points"": [[0.0, 125.0], [50.0, 125.0], [50.0, 225.0], [75.0, 225.0], [75.0, 125.0], [125.0, 125.0], [125.0, 100.0], [75.0, 100.0], [75.0, 0.0], [50.0, 0.0], [50.0, 100.0], [0.0, 100.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[62.5, 0.0], [62.5, 112.5], [62.5, 225.0], [0.0, 112.5], [125.0, 112.5]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_scaled_5,"[[0.0, 125.0], [125.0, 125.0], [125.0, 100.0], [75.0, 100.0], [75.0, 0.0], [50.0, 0.0], [50.0, 100.0], [0.0, 100.0]]","[[62.5, 0.0], [62.5, 112.5], [125.0, 112.5], [0.0, 112.5]]","{""Points"": [[0.0, 125.0], [125.0, 125.0], [125.0, 100.0], [75.0, 100.0], [75.0, 0.0], [50.0, 0.0], [50.0, 100.0], [0.0, 100.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[62.5, 0.0], [62.5, 112.5], [125.0, 112.5], [0.0, 112.5]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_1,"[[4.91, 5.09], [9.91, 5.17], [9.65, 20.17], [4.65, 20.08]]","[[7.41, 5.13], [7.15, 20.13]]","{""Points"": [[4.91, 5.09], [9.91, 5.17], [9.65, 20.17], [4.65, 20.08]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[7.41, 5.13], [7.15, 20.13]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_1,"[[4.91, 5.09], [9.91, 5.17], [9.47, 30.17], [34.47, 30.61], [34.38, 35.61], [4.39, 35.08]]","[[7.41, 5.13], [6.93, 32.63], [34.43, 33.11]]","{""Points"": [[4.91, 5.09], [9.91, 5.17], [9.47, 30.17], [34.47, 30.61], [34.38, 35.61], [4.39, 35.08]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[7.41, 5.13], [6.93, 32.63], [34.43, 33.11]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_1,"[[-0.44, 25.0], [9.56, 25.17], [9.21, 45.17], [14.21, 45.25], [14.56, 25.26], [24.56, 25.43], [24.65, 20.43], [14.65, 20.26], [15.0, 0.26], [10.0, 0.17], [9.65, 20.17], [-0.35, 20.0]]","[[12.5, 0.22], [12.11, 22.71], [11.71, 45.21], [-0.39, 22.5], [24.6, 22.93]]","{""Points"": [[-0.44, 25.0], [9.56, 25.17], [9.21, 45.17], [14.21, 45.25], [14.56, 25.26], [24.56, 25.43], [24.65, 20.43], [14.65, 20.26], [15.0, 0.26], [10.0, 0.17], [9.65, 20.17], [-0.35, 20.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[12.5, 0.22], [12.11, 22.71], [11.71, 45.21], [-0.39, 22.5], [24.6, 22.93]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_1,"[[-0.44, 25.0], [24.56, 25.43], [24.65, 20.43], [14.65, 20.26], [15.0, 0.26], [10.0, 0.17], [9.65, 20.17], [-0.35, 20.0]]","[[12.5, 0.22], [12.11, 22.71], [24.6, 22.93], [-0.39, 22.5]]","{""Points"": [[-0.44, 25.0], [24.56, 25.43], [24.65, 20.43], [14.65, 20.26], [15.0, 0.26], [10.0, 0.17], [9.65, 20.17], [-0.35, 20.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[12.5, 0.22], [12.11, 22.71], [24.6, 22.93], [-0.39, 22.5]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_2,"[[4.82, 5.17], [9.82, 5.35], [9.3, 20.34], [4.3, 20.16]]","[[7.32, 5.26], [6.8, 20.25]]","{""Points"": [[4.82, 5.17], [9.82, 5.35], [9.3, 20.34], [4.3, 20.16]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[7.32, 5.26], [6.8, 20.25]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_2,"[[4.82, 5.17], [9.82, 5.35], [8.95, 30.33], [33.93, 31.2], [33.76, 36.2], [3.78, 35.15]]","[[7.32, 5.26], [6.36, 32.74], [33.84, 33.7]]","{""Points"": [[4.82, 5.17], [9.82, 5.35], [8.95, 30.33], [33.93, 31.2], [33.76, 36.2], [3.78, 35.15]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[7.32, 5.26], [6.36, 32.74], [33.84, 33.7]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_2,"[[-0.87, 24.98], [9.12, 25.33], [8.42, 45.32], [13.42, 45.5], [14.12, 25.51], [24.11, 25.86], [24.29, 20.86], [14.29, 20.51], [14.99, 0.52], [9.99, 0.35], [9.3, 20.34], [-0.7, 19.99]]","[[12.49, 0.44], [11.71, 22.92], [10.92, 45.41], [-0.79, 22.49], [24.2, 23.36]]","{""Points"": [[-0.87, 24.98], [9.12, 25.33], [8.42, 45.32], [13.42, 45.5], [14.12, 25.51], [24.11, 25.86], [24.29, 20.86], [14.29, 20.51], [14.99, 0.52], [9.99, 0.35], [9.3, 20.34], [-0.7, 19.99]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[12.49, 0.44], [11.71, 22.92], [10.92, 45.41], [-0.79, 22.49], [24.2, 23.36]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_2,"[[-0.87, 24.98], [24.11, 25.86], [24.29, 20.86], [14.29, 20.51], [14.99, 0.52], [9.99, 0.35], [9.3, 20.34], [-0.7, 19.99]]","[[12.49, 0.44], [11.71, 22.92], [24.2, 23.36], [-0.79, 22.49]]","{""Points"": [[-0.87, 24.98], [24.11, 25.86], [24.29, 20.86], [14.29, 20.51], [14.99, 0.52], [9.99, 0.35], [9.3, 20.34], [-0.7, 19.99]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[12.49, 0.44], [11.71, 22.92], [24.2, 23.36], [-0.79, 22.49]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_3,"[[4.73, 5.25], [9.72, 5.52], [8.94, 20.5], [3.95, 20.23]]","[[7.23, 5.39], [6.44, 20.37]]","{""Points"": [[4.73, 5.25], [9.72, 5.52], [8.94, 20.5], [3.95, 20.23]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[7.23, 5.39], [6.44, 20.37]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_3,"[[4.73, 5.25], [9.72, 5.52], [8.42, 30.48], [33.38, 31.79], [33.12, 36.78], [3.16, 35.21]]","[[7.23, 5.39], [5.79, 32.85], [33.25, 34.29]]","{""Points"": [[4.73, 5.25], [9.72, 5.52], [8.42, 30.48], [33.38, 31.79], [33.12, 36.78], [3.16, 35.21]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[7.23, 5.39], [5.79, 32.85], [33.25, 34.29]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_3,"[[-1.31, 24.97], [8.68, 25.49], [7.63, 45.46], [12.62, 45.72], [13.67, 25.75], [23.66, 26.27], [23.92, 21.28], [13.93, 20.76], [14.98, 0.79], [9.99, 0.52], [8.94, 20.5], [-1.05, 19.97]]","[[12.48, 0.65], [11.31, 23.12], [10.13, 45.59], [-1.18, 22.47], [23.79, 23.78]]","{""Points"": [[-1.31, 24.97], [8.68, 25.49], [7.63, 45.46], [12.62, 45.72], [13.67, 25.75], [23.66, 26.27], [23.92, 21.28], [13.93, 20.76], [14.98, 0.79], [9.99, 0.52], [8.94, 20.5], [-1.05, 19.97]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[12.48, 0.65], [11.31, 23.12], [10.13, 45.59], [-1.18, 22.47], [23.79, 23.78]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_3,"[[-1.31, 24.97], [23.66, 26.27], [23.92, 21.28], [13.93, 20.76], [14.98, 0.79], [9.99, 0.52], [8.94, 20.5], [-1.05, 19.97]]","[[12.48, 0.65], [11.31, 23.12], [23.79, 23.78], [-1.18, 22.47]]","{""Points"": [[-1.31, 24.97], [23.66, 26.27], [23.92, 21.28], [13.93, 20.76], [14.98, 0.79], [9.99, 0.52], [8.94, 20.5], [-1.05, 19.97]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[12.48, 0.65], [11.31, 23.12], [23.79, 23.78], [-1.18, 22.47]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_rotated_4,"[[4.64, 5.34], [9.63, 5.69], [8.58, 20.65], [3.59, 20.3]]","[[7.13, 5.51], [6.09, 20.47]]","{""Points"": [[4.64, 5.34], [9.63, 5.69], [8.58, 20.65], [3.59, 20.3]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[7.13, 5.51], [6.09, 20.47]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_rotated_4,"[[4.64, 5.34], [9.63, 5.69], [7.88, 30.62], [32.82, 32.37], [32.47, 37.36], [2.55, 35.26]]","[[7.13, 5.51], [5.21, 32.94], [32.65, 34.86]]","{""Points"": [[4.64, 5.34], [9.63, 5.69], [7.88, 30.62], [32.82, 32.37], [32.47, 37.36], [2.55, 35.26]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[7.13, 5.51], [5.21, 32.94], [32.65, 34.86]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_rotated_4,"[[-1.74, 24.94], [8.23, 25.64], [6.84, 45.59], [11.82, 45.94], [13.22, 25.99], [23.2, 26.68], [23.54, 21.7], [13.57, 21.0], [14.96, 1.05], [9.98, 0.7], [8.58, 20.65], [-1.4, 19.95]]","[[12.47, 0.87], [10.9, 23.32], [9.33, 45.76], [-1.57, 22.45], [23.37, 24.19]]","{""Points"": [[-1.74, 24.94], [8.23, 25.64], [6.84, 45.59], [11.82, 45.94], [13.22, 25.99], [23.2, 26.68], [23.54, 21.7], [13.57, 21.0], [14.96, 1.05], [9.98, 0.7], [8.58, 20.65], [-1.4, 19.95]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[12.47, 0.87], [10.9, 23.32], [9.33, 45.76], [-1.57, 22.45], [23.37, 24.19]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_rotated_4,"[[-1.74, 24.94], [23.2, 26.68], [23.54, 21.7], [13.57, 21.0], [14.96, 1.05], [9.98, 0.7], [8.58, 20.65], [-1.4, 19.95]]","[[12.47, 0.87], [10.9, 23.32], [23.37, 24.19], [-1.57, 22.45]]","{""Points"": [[-1.74, 24.94], [23.2, 26.68], [23.54, 21.7], [13.57, 21.0], [14.96, 1.05], [9.98, 0.7], [8.58, 20.65], [-1.4, 19.95]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[12.47, 0.87], [10.9, 23.32], [23.37, 24.19], [-1.57, 22.45]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
