DAY	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
30-Jul	91	88	90	97	87	89	88	84	89	78	91	92	90	82	95	96	96	90	84	94
31-Jul	87	72	86	99	86	87	90	88	90	84	94	90	88	85	95	96	88	80	85	93
1-Aug	86	80	86	96	86	84	93	84	91	82	95	92	89	89	96	91	94	87	81	89
2-Aug	90	84	82	93	81	84	91	84	90	86	95	92	92	83	84	96	99	89	84	94
3-Aug	84	88	84	88	84	84	91	84	91	88	97	94	91	90	92	97	94	88	88	94
4-Aug	91	89	86	89	88	86	91	82	91	91	98	97	91	92	95	85	87	90	90	97
5-Aug	93	88	90	91	91	88	93	84	90	88	96	96	92	92	93	96	90	88	89	95
6-Aug	88	84	89	93	91	84	97	82	84	86	89	98	94	89	93	93	86	88	92	88
7-Aug	91	84	89	93	91	86	87	84	81	80	97	98	90	91	91	93	84	86	95	88
8-Aug	84	80	86	93	91	88	87	84	82	82	96	100	86	92	93	94	92	83	90	92
9-Aug	90	73	82	91	96	87	86	86	84	85	95	103	85	93	94	91	88	89	89	93
10-Aug	89	80	87	90	95	88	88	87	75	83	96	103	85	93	94	95	87	90	86	94
11-Aug	88	86	88	96	89	86	89	84	82	87	88	100	88	95	95	94	85	90	83	91
12-Aug	86	88	84	98	89	86	91	81	80	88	84	90	81	86	95	95	88	90	88	90
13-Aug	84	88	86	97	89	81	91	87	77	86	81	100	81	90	96	95	91	89	84	89
14-Aug	86	87	80	98	89	87	89	89	82	90	87	99	84	90	89	94	88	83	85	90
15-Aug	89	88	82	93	94	84	88	90	82	92	86	102	87	90	90	88	85	73	87	90
16-Aug	90	91	86	93	97	90	90	86	84	89	89	101	86	88	90	90	91	67	88	90
17-Aug	91	91	84	96	99	91	91	89	86	90	86	101	85	87	91	92	87	66	89	89
18-Aug	91	89	87	98	101	91	93	90	86	90	88	97	86	88	93	94	87	77	89	88
19-Aug	90	89	90	98	101	87	91	90	89	89	88	95	90	90	92	96	84	82	86	89
20-Aug	89	88	79	89	97	86	93	87	88	92	93	96	90	88	93	93	84	84	89	88
21-Aug	90	82	84	91	87	88	93	88	82	94	91	99	85	88	93	94	88	84	92	89
22-Aug	91	79	87	91	86	90	91	88	84	93	88	104	82	85	94	98	84	88	93	92
23-Aug	91	81	87	90	88	88	95	90	84	87	87	98	78	81	93	92	88	90	93	87
24-Aug	91	82	88	80	92	93	93	89	87	85	83	95	83	86	90	93	86	84	88	89
25-Aug	84	84	90	82	92	90	91	88	82	84	85	94	78	87	89	95	85	82	84	84
26-Aug	88	87	91	89	90	91	88	89	86	84	88	92	83	90	90	99	90	82	86	86
27-Aug	84	90	89	88	90	91	84	90	88	86	88	88	80	83	89	95	90	86	88	85
28-Aug	86	90	90	90	92	81	82	91	90	86	90	88	86	75	87	95	80	90	91	83
29-Aug	88	91	93	91	92	86	82	89	87	85	90	89	89	86	84	93	86	92	92	81
30-Aug	84	91	93	91	88	81	78	88	88	85	88	89	89	79	85	90	80	87	88	74
31-Aug	82	88	91	84	87	82	77	89	87	85	80	86	88	79	89	92	89	90	89	84
1-Sep	80	88	87	88	79	80	84	88	82	85	85	84	81	71	90	95	91	90	90	87
2-Sep	73	91	84	91	81	75	84	86	80	88	86	83	85	78	91	96	89	84	90	90
3-Sep	87	93	77	84	82	73	89	87	81	87	85	88	83	79	92	95	85	90	92	89
4-Sep	84	81	90	93	87	81	95	87	82	85	88	91	85	83	84	80	77	89	82	92
5-Sep	87	81	91	96	81	90	93	84	84	81	83	89	88	83	85	78	85	89	89	87
6-Sep	89	82	89	96	66	88	91	73	81	81	85	85	87	85	90	75	85	88	91	85
7-Sep	89	86	90	91	66	87	88	75	86	83	80	86	89	84	91	69	92	88	90	85
8-Sep	89	88	89	91	75	86	87	81	73	85	83	88	90	87	93	73	88	91	84	84
9-Sep	91	84	79	77	80	86	91	82	84	86	83	89	88	84	92	81	83	90	84	87
10-Sep	84	80	78	87	82	89	95	79	84	84	85	89	87	80	94	84	84	89	86	85
11-Sep	86	82	81	87	84	87	95	80	84	84	84	89	83	75	96	86	83	89	90	86
12-Sep	88	86	84	87	86	84	90	81	81	86	82	86	87	81	89	87	81	90	92	78
13-Sep	78	87	89	86	87	84	75	84	79	88	70	85	86	80	86	89	81	87	86	75
14-Sep	79	87	87	87	86	86	78	82	79	88	80	81	88	82	91	92	83	82	78	77
15-Sep	86	88	87	89	80	77	91	82	73	91	82	82	79	79	91	86	87	84	80	80
16-Sep	82	88	88	81	75	77	88	81	75	88	83	76	80	82	89	72	86	89	86	79
17-Sep	82	90	87	81	73	81	86	81	80	86	85	78	69	73	95	79	83	79	86	83
18-Sep	78	88	82	82	73	81	81	81	79	88	85	79	82	80	93	77	79	78	85	83
19-Sep	79	91	80	79	84	82	80	84	78	90	79	82	81	74	92	77	81	84	84	87
20-Sep	79	95	82	68	87	84	86	87	73	90	73	81	79	81	96	82	79	86	83	89
21-Sep	78	89	82	79	77	86	84	82	75	90	75	78	75	79	95	86	85	73	87	77
22-Sep	81	70	88	72	73	87	77	75	80	86	82	86	84	84	92	80	87	82	82	76
23-Sep	84	80	84	75	81	88	82	81	84	87	86	83	82	83	91	83	81	82	77	81
24-Sep	84	82	81	78	84	69	73	80	82	88	84	89	78	85	88	82	78	71	78	74
25-Sep	87	66	82	81	82	66	69	82	81	85	75	87	82	87	93	88	82	67	77	67
26-Sep	84	70	84	82	68	72	75	82	79	77	78	84	80	85	76	86	86	78	74	71
27-Sep	79	64	87	78	71	75	75	82	72	86	79	85	77	80	81	84	88	79	78	71
28-Sep	75	68	80	80	75	78	79	73	78	85	81	85	86	83	76	79	86	77	74	75
29-Sep	72	77	75	77	73	71	73	66	78	85	70	81	86	72	79	84	84	76	71	77
30-Sep	64	86	75	71	75	71	79	71	80	82	75	79	86	74	76	78	72	77	84	85
1-Oct	66	75	86	73	77	75	82	72	82	83	83	80	74	76	79	65	75	82	86	71
2-Oct	72	73	78	75	79	80	84	68	82	85	81	82	74	75	78	68	72	82	85	66
3-Oct	84	75	77	84	82	81	84	66	80	83	82	77	80	76	68	75	74	82	78	66
4-Oct	70	78	82	71	81	80	82	77	81	85	84	80	83	74	67	80	82	85	65	70
5-Oct	66	81	82	73	82	79	87	78	80	81	86	81	83	62	70	83	82	84	71	73
6-Oct	64	82	73	71	73	70	86	75	75	72	76	82	82	71	73	81	83	84	78	76
7-Oct	60	82	82	73	66	68	80	73	75	72	72	83	82	79	81	79	68	74	82	81
8-Oct	78	82	69	73	55	79	71	73	73	73	72	83	72	80	82	78	63	72	86	82
9-Oct	70	80	72	72	55	66	66	73	71	70	79	81	75	85	85	72	70	76	86	81
10-Oct	72	82	73	72	64	73	70	73	71	77	80	81	77	74	86	68	73	80	86	71
11-Oct	69	82	78	73	71	75	78	66	77	82	80	67	78	77	86	65	75	79	86	73
12-Oct	69	79	78	70	73	78	84	78	73	74	71	72	77	66	80	73	79	81	85	76
13-Oct	73	80	78	64	75	78	79	78	64	77	62	74	77	73	80	74	75	82	85	81
14-Oct	79	68	75	75	75	75	68	78	63	78	69	78	80	66	73	77	77	77	75	78
15-Oct	81	63	79	73	77	75	57	69	62	79	70	78	81	61	78	80	77	68	69	81
16-Oct	80	57	78	77	80	62	66	72	71	76	59	76	83	61	76	84	74	74	70	77
17-Oct	82	66	77	80	80	60	64	68	75	75	71	82	69	51	80	85	75	72	80	70
18-Oct	66	64	78	71	80	64	68	70	73	81	77	77	67	55	78	80	74	73	76	66
19-Oct	63	69	82	66	73	71	71	75	68	83	76	76	65	61	82	67	73	63	73	64
20-Oct	68	70	75	60	73	75	73	78	71	83	69	75	66	68	77	59	71	70	73	71
21-Oct	79	70	73	64	75	79	71	84	73	80	69	78	72	71	80	63	76	72	77	76
22-Oct	81	62	63	73	79	80	64	78	73	67	70	72	68	74	78	68	79	69	70	79
23-Oct	69	63	63	57	75	81	59	78	70	70	53	81	62	72	76	70	78	63	72	81
24-Oct	73	62	72	59	75	79	68	73	73	56	56	59	54	69	81	73	79	66	74	76
25-Oct	73	75	75	64	78	73	60	73	78	54	55	61	67	65	76	76	80	56	77	71
26-Oct	75	71	79	69	75	64	68	68	79	61	62	68	70	65	85	77	80	61	84	67
27-Oct	75	57	79	75	78	51	69	64	81	63	66	67	59	60	76	79	70	69	84	56
28-Oct	81	55	79	73	80	55	75	57	78	62	63	70	50	71	74	74	56	64	77	78
29-Oct	82	64	78	72	75	63	75	70	75	64	72	62	59	75	68	59	56	75	73	70
30-Oct	82	66	82	75	77	72	68	77	78	69	73	67	65	66	71	61	56	78	68	70
31-Oct	81	60	79	75	78	71	60	75	82	70	68	71	67	69	75	65	65	74	63	62
