entertainment,"मुंबई : व्यक्ती आणि वल्ली या पु . ल . देशपांडे ह्यांच्या काल्पनिक व्यक्तिरेखांच्या संग्रहाचा , रसिकांना दिवाळीच्या मुहूर्तावर नाट्यफराळ चाखायला मिळणार आहे . गेल्या तीन वर्षात १५० हून अधिक यशस्वी प्रयोग सादर करणारे गंधार कलासंस्था तसेच कोकण कला अकादमी प्रकाशित आणि अमृता प्रॉडक्शन निर्मित ‘व्यक्ती आणि वल्ली’ हे नाटक लवकरच रंगभूमीवर येत आहे . विशेष म्हणजे , या नाटकाच्या निमित्ताने पुलंच्या कथासंग्रहातील अंतू बर्वा , भाऊ , सखाराम गटणे , नाथा कामत , नारायण हि पात्र रंगभूमीवर बालकलाकारांकडून जिवंत केले जाणार आहेत . प्रा . मंदार टिल्लू यांचे दिग्दर्शन लाभलेले हे नाटक नाट्यरसिकांसाठी दिवाळीची अनोखी भेट ठरणार आहे . चित्रपट , मालिका तसेच रंगभूमीवर विशेष कामगिरी करणाऱ्या बालकलाकारांचा यात समावेश असून , कैवल्य शिरीष लाटकर , अथर्व बेडेकर , स्वानंद शेळके , वेदांत आपटे , अद्वेय टिल्लू , स्वरा जोशी , यश विघ्नेश जोशी , सुमेध रमेश वाणी अशी बालकलाकारांची मोठी फळी यात पाहायला मिळणार आहे . येत्या २४ ऑक्टोबर रोजी ठाणे येथील गडकरी रंगातयन नाट्यगृहात ‘व्यक्ती आणि वल्ली’ चा पहिला प्रयोग सादर केला जाणार आहे . या नाटकाबद्दल बोलताना नाट्यदिग्दर्शक प्रा . मंदार टिल्लू सांगतात की , ‘अभिनयप्रशिक्षणाची रंगभूमी हि पहिली पायरी असून , बालकलाकारांना व्यासपीठ उपलब्ध करून देण्याचा प्रयत्न याद्वारे केला जातो . तसेच या नाट्याच्या सहाय्याने आजच्या पिढीचा कल नाटकाकडे सर्वाधिक वळवण्याचा आमचा मानस आहे’ असे ते सांगतात . ‘आजच्या बालकलाकारांमध्ये , नाट्याचे बीज रोवले तर भविष्यात रंगभूमीला सुगीचे दिवस येतील . असा विश्वास प्रा . मंदार टिल्लू व्यक्त करतात . या नाटकाच्या निर्मितीत सुप्रसिध्द दिग्दर्शक विजू माने आणि अशोक नारकर यांचा सहभाग आहे . बालरंगभूमीवर होत असलेल्या या नाटकाबद्दल आपले मत व्यक्त करताना विजू माने सांगतात की , ' बालरंगभूमी समृध्द करायची असेल तर , अश्या नाटकांसारखे नाविन्यपूर्ण प्रयोग रंगभूमीवर होणे गरजेचे आहे , आणि त्याच हेतुने आम्ही हे नाटक करायचे ठरवले ' तूर्तास ह्या नाटकाचा जोरदार सराव सुरु असून , संपूर्ण महाराष्ट्रात याचे प्रयोग सादर केले जातील . प्रसिद्ध नेपथ्यकार प्रसाद वालावलकर यांचादेखील यात सहभाग असून . शितल तळपदे यांची प्रकाश योजना लाभली आहे . राजू आठवले आणि प्रशांत विचारे यांनी सहाय्यक दिग्दर्शकाची धुरा सांभाळली असून , या नाटकाला वैभव पटवर्धन यांचे पार्श्वसंगीत तर प्रकाश निमकर यांची वेशभूषा लाभली आहे . तसेच शशिकांत सकपाळ यांची रंगभूषा आहे . प्रा . संतोष गावडे , अमोल आपटे , सुनिल जोशी ह्या तिकडींनी निर्मिती सूत्रधाराची धुरा सांभाळली असून , बाळकृष्ण ओडेकर यांनी सहनिर्मितीचा कार्यभाग सांभाळला आहे ."
lifestyle,"किडनी , फुफ्फुसांसाठीही धोकादायक वात आजार नसून ते व्याधीचे चिन्ह आहे . वाताचे शंभर प्रकार आहेत . संधिवात आणि हाडांची झिज हे यातील सर्वाधिक धोकादायक आणि वेदनादायी प्रकार आहेत . एकूण लोकसंख्येच्या एक टक्का व्यक्तींमध्ये वातविकार आढळतो . वातामुळे शरीरातील किडनीपासून फुफ्फुस व इतर अवयवांवर परिणाम होतो . यामुळे वातचिन्ह दिसताच डॉक्टरांचा सल्ला घ्यावा . वाताचे प्रमाण हे पुरुषांच्या तुलनेत स्त्रियांमध्ये जास्त आढळते , असा सूर नुकताच विदर्भ ऑर्थोपेडिक सोसायटी आणि असोसिएशन ऑफ फिजिशियन ऑफ इंडियाच्या नागपूर शाखेतर्फे ‘संधिवात’ विषयावरील चर्चासत्रातून निघाला . योजना गोखले ( मुंबई ) , अस्थिरोगतज्ज्ञ डॉ . अमित पिस्पती प्रमुख वक्ते म्हणून उपस्थित होते . डॉ . नानावटी म्हणाले , कोणत्याही ‘वातां’चे मुळापासून उच्चाटन होत नाही . पुरुषांच्या तुलनेत स्त्रियांमध्ये वाताचे प्रमाण अधिक आहे . वात आजार नसला तरी त्यामुळे किडनी , हृदय , त्वचा , डोळे तसेच हाडांवर परिणाम होतो . ‘गऊट’ वात प्रकारात युरिक अॅसिड हाडांच्या सांध्यात जमा होते . त्यामुळे सांधे सुजतात . डॉ . अमित पिस्पती म्हणाले की , वातामुळे रक्ताच्या पेशींची हानी होते . सांधेदुखीच्या वेदना असह्य़ होतात . आनुवंशिकतेसोबतच पर्यावरण आणि व्यसनामुळे वात होतो . गेल्या काही वर्षांत वाताचे रुग्ण झपाटय़ाने वाढत आहेत . याला धूम्रपान आणि मद्यपान कारणीभूत ठरत असल्याचे डॉ . पिस्पती म्हणाले . डॉ . योजना गोखले यांनी वाताच्या रुग्णांमध्ये पन्नास टक्के रुग्ण आनुवंशिक असल्याचे सांगितले . सांधे दुखणे म्हणजे संधिवात असतोच असे नाही . दुखण्यात सातत्य आल्यानंतर तात्काळ डॉक्टरांचा सल्ला घ्यावा . हाडांची झिज झाल्यानंतर वेदना वाढतात . गुडघ्यांवर तसेच सांध्यांवर कमीत कमी ताण आणणारे व्यायाम नियमित केले , तर संधिवातावर मात करून सामान्य जीवन जगता येते , असे डॉ . गोखले यांनी सांगितले ."
lifestyle,"जिओने आपल्या युजर्सना एक धमाकेदार ऑफर दिली आहे . रिलायन्स जिओने आपल्या युजर्ससाठी कॅशबॅक ऑफरची तारीख वाढवली आहे . रिलायन्स जिओच्या कॅशबॅक ऑफरमध्ये ३९८ किंवा त्याहून जास्त रिचार्जवर ७०० रुपयांपर्यंत कॅशबॅक दिला जात आहे . ही ऑफर फक्त ऑनलाइन रिचार्जवर दिली जात आहे . याचा अर्थ तुम्ही एखाद्या शॉपमध्ये जाऊन रिचार्ज केलात तर ही ऑफर मिळणार नाही . ही ऑफर ३१ मार्चपर्यंत वाढवण्यात आली आहे . युजरने जिओ अॅपमधून ३९८ चा किंवा त्याहून जास्तचा रिचार्ज केला , तर त्याच्या वॉलेटमध्ये ३०० रुपये जमा होतील . याशिवाय जिओ अॅपमध्ये ५० - ५० रुपयांचे आठ वाऊचर्स मिळतील . या वाऊचर्सचा वापर तुम्ही ३०९ चा किंवा त्याहून जास्तचा रिचार्ज करण्यासाठी करु शकता . एका रिचार्जवर एकाच वाऊचरचा वापर केला जाऊ शकतो . याशिवाय अॅमेझॉन पे , फोन पे , फ्रिचार्ज आणि पेटीएमसारख्या वॉलेटमधून रिचार्ज केल्यावरही ऑफर मिळत आहे . कोण किती कॅशबॅक देतंय – रिलायन्स जिओचा रिचार्ज अॅमेझॉन पे वरुन केल्यास नव्या आणि जुन्या युजर्सना ५० रुपयांचा कॅशबॅक दिला जात आहे . मोबिक्विकवरुन जिओच्या नव्या आणि जुन्या युजर्सनी रिचार्ज करताना JIOFULL कोड टाकला , तर ३०० रुपयांचास कॅशबॅक मिळेल . पेटीएमवरुन जिओचा ३९८ किंवा त्याहून जास्तचा रिचार्ज करताना नवीन युजरने NEWJIO कोड वापरल्यास ८० रुपयांचा कॅशबॅक मिळणार . याशिवाय जुन्या युजर्सनी PAYTMJIO कोड वापरला तर त्यांना ५० रुपयांचा कॅशबॅक मिळेल . फ्रीचार्जवरुन रिचार्ज करत असताना JIO75 कोड टाकल्यास जिओच्या नव्या युजर्सना ७५ रुपयांचा कॅशबॅक मिळेल . तर जुन्या युजर्सनी FCJIO कोड वापरल्यास ३० रुपयांचा कॅशबॅक मिळेल . फोनपेवरुन रिचार्ज केल्यास नव्या युजर्सना ९० रुपयांचा कॅशबॅक मिळेल आणि जुन्या युजर्सना ६० रुपयांचा कॅशबॅक मिळेल . काय आहे ३९८ चा प्लान – जिओच्या ३९८ च्या रिचार्जवर युजरला अनलिमिटेड डाटा दिला जात आहे . मात्र त्यासाठी एक अट आहे . युजरला दिवसाला फक्त २ जीबी हायस्पीड डाटा मिळेल . दिवसाची लिमिट संपल्यास इंटरनेट अनलिमिटेड चालत राहील मात्र स्पीड 64kbps होईल . याशिवाय प्लानमध्ये अनलिमिटेड कॉलिंग सुविधाही दिली जात आहे . सोबतच १०० एसएमएसही दिवसाला मिळतील . हा प्लान फक्त ७० दिवसांसाठी वैध आहे ."
entertainment,"बॉलिवूड अभिनेता रणबीर कपूर त्याच्या खासगी आयुष्याविषयी मौन बाळगणं पसंत करतो . अभिनेत्री कतरिना कैफसोबत रिलेशनशीपमध्ये असतानाही त्याने त्याबद्दल काही सांगितले नाही . तसेच , तिच्याशी ब्रेक अप झाल्यानंतरही तो एक दोन मुलाखती वगळता कधीच काही बोलला नाही . पण , त्याच्या आयुष्यातील हा खासगी प्रश्न नॅशनल टेलिव्हिनजवर विचारण्याच साहस एकच व्यक्ती करू शकत होता आणि त्याने तसं केलंही . तो व्यक्ती म्हणजे दिग्दर्शक , निर्माता करण जोहर . करण जोहरने गेल्या ‘कॉफी विथ करण’च्या सिझनसाठी चक्क रणबीर कपूर आणि रणवीर सिंग यांना एकत्र बोलावलं होतं . या दोन्ही अभिनेत्यांचे नाव दीपिका पदुकोणशी जोडलं गेलेलं असल्यामुळे त्यांचे असं एकत्र येण सर्वांनाच आश्चर्याचा धक्का देणारं होतं . एकेकाळी रणबीर आणि दीपिका एकमेकांना डेट करत होते . त्यावेळी , दीपिकाने आरके ( RK ) टॅटू तिच्या मानेवर गोंदवला होता . हा टॅटू आजही तिच्या मानेवर आहे . पण , जेव्हा रणबीर आणि रणवीर एकत्र आले तेव्हा त्यांनी आपल्या परीने पूर्ण प्रयत्न करत मनोरंजक असा एपिसोड केला . वाचा : लंडनमध्ये हरवली या अभिनेत्याची बाईक एका टिव्ही मुलाखतीत रणबीरला कॉफी विथ करण ही एक उत्तम संकल्पना असल्याचं तुला वाटत का ? असा प्रश्न विचारण्यात आलेला . त्यावर रणबीर म्हणाला की , तुम्ही करणला चांगलेच ओळखून आहात . तो समोरच्यासाठी अगदी आरामदायी वातवारण तयार करतो . त्यामुळे तुम्ही त्याच्याशी गप्पा मारण्यात अगदी गुंग होऊन जाता . पण , त्याचवेळी तुम्हाला लाखो , करोडो लोक बघत असतात आणि ते तुमचा प्रत्येक शब्द गंभीरपणे घेतात . यामुळे अखेर तुम्हालाच त्रास सहन करावा लागतो . मी आता कॉफी विथ करणला कंटाळलोय . या सिझनसाठी माझ्यावर दबाव टाकण्यात आला होता . मी करणला म्हणालेलो मला यावेळी शोमध्ये नाही यायचं . मी आणि अनुष्का याचा निषेध करणार असून , हे सगळं थांबवण्यासाठी संपूर्ण चित्रपसृष्टीला एकत्र आणणार आहोत . तो या सगळ्यातून पैसा कमवतोय . आम्ही तेथे जातो आणि त्यानंतर वर्षभर त्याचा त्रास आम्हाला सहन करावा लागतो . हे काही बरोबर नाही . वाचा : कपिल शर्माच्या मागची साडेसाती संपता संपेना रणबीरने करण जोहरच्या ‘ऐ दिल है मुश्किल’ चित्रपटात काम केले होते . या दोघांमध्ये चांगले मैत्रीचे संबंध आहेत . पण रणबीरच्या या उत्तरावर करण काय प्रतिक्रिया देणार हे पाहणं महत्त्वाचं ठरणार आहे ."
sports,"प्रत्येक खेळाडू हा आपल्या क्षेत्रात असणाऱ्या एका महान खेळाडूची नक्कल करण्याचा प्रयत्न करत असतो . आयसीसीच्या महिला विश्वचषकात सध्या चर्चेचा विषय बनलेली सांगलीची स्मृती मंधानाही याला काही अपवाद नाहीये . मात्र कोणताही भारतीय खेळाडू नाही तर श्रीलंकेचा माजी खेळाडू कुमार संगाकारा हा स्मृतीचा सर्वात आवडता खेळाडू आहे . विश्वचषकाच्या पहिल्या दोन सामन्यांमध्ये चमकदार कामगिरी करणाऱ्या स्मृतीच्या प्रशिक्षकांनी स्मृतीच्या सांगलीच्या मैदानातल्या आठवणी जागवल्या . सांगलीत स्मृतीने अनंत तांबवेकर यांच्याकडे क्रिकेटचे धडे गिरवायला सुरुवात केली . नेट्समध्ये सराव कराता स्मृती ही अतिशय शिस्तबद्ध होती . आपल्या मनासारखा फटका खेळेपर्यंत तीने कधीच नेट्समधून बाहेर पडली नाही , असं स्मृतीच्या प्रशिक्षकांनी म्हणलं आहे . ”कुमार संगकारा हा स्मृतीचा आवडता खेळाडू आहे , कित्येकदा नेट्समध्ये सराव करताना ती संगकारासारखे फटके खेळण्याचा प्रयत्न करायची . यावरुन मी तिला कित्येकदा , संककाराची नक्कल करु नकोस असं ओरडलोही होतो . ” स्मृतीच्या अशा अनेक आठवणी यावेळी तिचे प्रशिक्षक अनंत तांबवेकर यांनी सांगितल्या . आंतराष्ट्रीय स्तरावर खेळायला लागल्यानंतरही स्मृती आपल्याला विसरली नसल्याचं तांबवेकर सर आवर्जुन सांगतात . ”वेस्ट इंडिजविरुद्धच्या सामन्यात शतक झळकावल्यानंतर स्मृतीचा मला फोन आला , आणि मी खेळताना कुठे चुकत तर नव्हते ना असा प्रश्न तिने मला विचारला . काही मिनीटासाठी मला काय बोलावं हेच कळेना , इतक्या मोठ्या स्तरावर पोहचल्यानंतर अशा वेळी स्मृती मला फोन करेल असं मला वाटलंही नव्हतं . ” स्मृतीबद्दलच्या प्रत्येक आठवणी सांगताना तांबवेकर सरांचा आनंद त्यांच्या चेहऱ्यावरुन लपू शकत नव्हता . महिला विश्वचषकात सध्या भारतीय महिलांचा संघ चांगलाच फॉर्मात आहे . पहिल्या दोन सामन्यांपाठोपाठ पाकिस्तानच्या संघावर मात करत भारताने आपली विजयी परंपरा कायम राखली आहे . पाकिस्तानविरुद्धच्या सामन्यात स्मृतीला फारशी चांगली कामगिरी करता आलेली नसली तरीही आगामी सामन्यांमध्ये ती परत चमकदार कामगिरी करेल अशी आशा प्रत्येक भारतीय बाळगून आहे ."
entertainment,"वादग्रस्त वक्तव्यांमुळे चर्चेत राहणारी राखी सावंत गेल्या काही दिवसांपासून या ना त्या कारणामुळे चर्चेत येत आहे . नुकतच राखीने हरियाणातील झालेल्या रेसलिंग स्पर्धेत हजेरी लावली होती . मात्र या खेळात राखीला दुखापत झाली असून तिला थेट रुग्णालय गाठावं लागल्याचं समोर आलं आहे . हरियाणातील पंचकुला येथे कॉन्टिनेंटल रेसलिंग इंटरनॅशनल ( सीडब्ल्यूई ) बॅनरखाली रेसलिंगच्या बिग फाईटचं आयोजन करण्यात आलं होतं . या स्पर्धेत राष्ट्रीय आणि आंतरराष्ट्रीय महिला कुस्तीपटूंनी सहभाग घेतला होता . या स्पर्धेत राखीने विजयी महिला कुस्तीपटूला आव्हान करत तिच्याशी दोन हात करण्याचा प्रयत्न केला . मात्र राखीला हे आव्हान चांगलंच महागात पडलं असून विदेशी महिला कुस्तीपटूने राखीला धोबीपछाड केलं आहे . आयोजित केलेल्या स्पर्धेत विदेशी कुस्तीपटू रैवलने फाईट जिंकल्यानंतर ‘कुण्या भारतीय महिलेत हिंमत असेल तर तिने माझ्याशी लढावे’ , असं ओपन चॅलेंज दिले . तिचं हे चॅलेंज ऐकताच राखीने तिला प्रतिआव्हान देत ‘तुझ्यात दम असेल तर तू माझ्यासारखं नाचून दाखव’ असं सांगितलं . त्यानंतर राखीने डान्स करण्यास सुरुवात केली . मात्र तिचा डान्स पाहत असताना अनेकांनी राखीला चीअरअप करत रैवलनला ठेंगा दाखवत चिडवले . हा राग मनात धरत रैवलनने राखीला हवेत उचलून जोरात जमिनीवर आपटलं . दरम्यान , जमिनीवर जोरात आपटल्यामुळे राखीच्या पाठीत आणि पोटात असह्य वेदना होऊ लागल्या त्यामुळे तिला रुग्णालयात दाखल करावं लागल्याचं सांगण्यात येत आहे . ‘राखीने कुस्तीपटू रैवलला डान्ससाठी आव्हान दिले . त्यानंतर प्रेक्षकांच्या प्रतिक्रिया पाहून रैवलला अचानक राग अनावर झाला आणि तिने राखीला उचलून खाली आपटले . मात्र आता राखीची प्रकृती ठीक असल्याचं’ , आयोजक समितीचे सदस्य बलवान यांनी सांगितले"
entertainment,‘सीमेवरील जवान हेच खरे हिरो आहेत . सर्वात आधी आपला देश त्यानंतर आम्ही कलाकार . त्यामुळे लायकी नसणाऱ्यांना महत्त्व देऊ नका’ असे म्हणत नाव न घेता नाना पाटेकर यांनी सलमान खानवर शाब्दिक हल्ला चढवला आहे . पुण्यात आयोजित करण्यात आलेल्या एका कार्यक्रमामध्ये त्यांनी हे वक्तव्य केले . उरी हल्ल्यानंतर भारत आणि पाकिस्तान या दोन्ही देशांमधील तणावाचे वातावरण पाहता सध्या सर्वच क्षेत्रांतील दिग्गज याबाबत त्यांच्या प्रतिक्रिया देत आहे . काही दिवसांपूर्वी भारतीय लष्कराने पाकव्याप्त काश्मीरमध्ये जात दहशतवादी तळ नष्ट केले होते . या घटनेनंतर राजकारण आणि कलाक्षेत्रामध्ये बऱ्याच घडामोडी पाहायला मिळाल्या . महाराष्ट्र नवनिर्माण सेनेने पाकिस्तानी कलाकारांना भारत सोडून जाण्याचा इशारा दिल्यानंतर ‘इम्पा’च्या ७७ व्या सर्वसाधारण बैठकीमध्ये पाकिस्तानी कलाकारांना भारतीय चित्रपटांमध्ये काम करण्यास बंदी घालण्याचा निर्णय घेण्यात आला . या सर्व प्रकरणाविषयी अभिनेता सलमान खानने पाकिस्तानी कलाकारांचे समर्थन करत ‘ते कलाकार आहेत दहशतवादी नाहीत’ असे वक्तव्य केल्यामुळे अनेकांचा रोष ओढवून घेतला . सलमानच्या याच वक्तव्याविषयी अभिनेते नाना पाटेकर यांनी त्याचे नाव न घेता त्याला चांगलेच फटकारले आहे . नानांच्या या वक्तव्यामुळे सलमानचा तीव्र शब्दांत विरोध करणाऱ्यांमध्ये आणखी एका कलाकाराची भर पडली आहे . दरम्यान सध्या नेटिझन्सनी सुद्धा सलमानविरोधी पवित्रा घेतल्याचेच दिसत आहे . त्यामुळे येणाऱ्या काळात पाकिस्तानी कलाकारांचे बॉलिवूडमधील भवितव्य आणि सलमान खानचे वक्तव्य अनेक चर्चा रंगवणार असेच दिसत आहे .
lifestyle,"पब्लिक प्रॉव्हिडंट फंड ( पीपीएफ ) आणि राष्ट्रीय बचत योजना ( एनएससी ) या अनेक भारतीयांसाठी लोकप्रिय अशा गुंतवणूक योजना आहेत . या गुंतवणुकीवर चांगला परतावा मिळतो आणि सुरक्षिततेची खात्रीही असते . याशिवाय , या दोन्ही योजनांमधून मिळणारे उत्त्पन्न ८० - सी अंतर्गत करमुक्त असते . या दोन्ही योजना फक्त भारतीय नागरिकांसाठी आहेत . एनएससी आणि पीपीएफसारख्या लघु बचत योजनांमध्ये एनआरआय गुंतवणूक करू शकत नाहीत . पण भारतीय नागरिक असताना या योजनांमध्ये पैसे गुंतवले असतील आणि नंतर खातेधारक एनआरआय झाला तर शासनाकडून त्यांना सूट दिली जात असे . मात्र , आता या नियमांमध्ये बदल करण्यात आले आहेत . काय आहेत हे बदल पाहूया… हे आहेत आधीचे नियम एनआरआयसाठी पीपीएफः एनआरआय लोक पीपीएफ खाते उघडू शकत नाहीत . पण , खाते उघडल्यानंतर जर निवासी भारतीय एनआरआय झाला , तर खाते सुरू राहून योजनेची मुदत संपल्यानंतर त्याचा फायदा मिळू शकेल . एनआरआयसाठी एनएससीः एनआरआय लोक एनएससीमध्ये गुंतवणूक करू शकत नाहीत . पण , ती केल्यावर जर निवासी भारतीय एनआरआय झाला , तर योजनेची मुदत संपल्यानंतर त्याचा फायदा मिळू शकेल , पण तो पैसा त्यांना भारताबाहेर नेता येणार नाही . आता एनआरआयसाठी एनएससी आणि पीपीएफच्या नियमांत बदल झाल्यामुळे जुने नियम आणि नवे नियम यांत बरीच तफावत झालेली आहे . काय आहेत नवीन नियम एनआरआयसाठी पीपीएफः नवीन अधिसूचनेप्रमाणे ‘जर या योजनेत एखाद्या निवासीने खाते उघडले असेल आणि नंतर खाते सुरू असताना ते अनिवासी भारतीय झाले , तर त्यांच्या अनिवासी होण्याच्या तारखेपासून खाते बंद झाले असे समजण्यात येईल . एनआरआयसाठी एनएससीः नव्या नियमांप्रमाणे राष्ट्रीय बचत प्रमाणपत्र योजनेत गुंतवणूक केलेल्या व्यक्तीला एनआरआयचा दर्जा मिळेल , त्या तारखेला संबंधित खाते गोठवले जाईल . व्याजाचा हिशेब काय ? अधिसूचनेमध्ये सांगितल्याप्रमाणे , एनआरआय व्यक्तींचे पीपीएफ आणि एनएससी खाते ज्या महिन्यात गोठवले जाईल त्या तारखेच्या अलीकडच्या महिन्याच्या शेवटच्या तारखेपर्यंतचे व्याज पोस्ट ऑफिस सेव्हिंग खात्याच्या दराप्रमाणे दिले जाईल . आदिल शेट्टी , सीईओ , बँकबझार"
entertainment,"बॉलिवूड कलाकार आणि त्यांच्या कामाला दाद देणाऱ्या एक मानाचा पुरस्कार सोहळा नुकताच पार पडला . बॉलीवूड सुंदरींनी त्यांच्या सौंदर्याने आणि झगमगाटाने स्टारडस्ट पुरस्कार सोहळ्याच्या रेड कार्पेटला चारचाँद लावले होते . यावेळी नीरजा या चित्रपटातील भूमिकेने सर्वांची मने जिंकणाऱ्या सोनम कपूरला सर्वोत्कृष्ट अभिनेत्री म्हणून गौरविण्यात आले . सोनम कपूरने या कार्यक्रमात आपल्या ड्रेसअपने सर्वांना आकर्षित केले होते . मात्र पुरस्कार मिळाल्याच्या आनंद व्यक्त करताना सोनमची जीभ घसरली . एका दैनिकाने दिलेल्या वृत्तानुसार पुरस्कार स्वीकारल्यानंतर सोनमने दहशतवादी ( टेररिस्ट ) आणि प्रवाशांची ( पॅसेंजर ) आभारी आहे . असे वक्तव्य केले . ‘नीरजा’ या चित्रपटातून केलेल्या अभिनयामुळे सोनमने अनेकांची प्रशंसा मिळवली होती . चित्रपटसृष्टी आणि चाहत्यांनीही या चित्रपटातील सोनमने साकारलेल्या भूमिकेसाठी तिला दाद दिली होती . ‘नीरजा’ या चित्रपटामुळे सोनम कपूरच्या हिंदी चित्रपट सृष्टीतील कारकिर्दीला एक वेगळीच कलाटणी मिळाली होती . राम माधवानी दिग्दर्शित या चित्रपटामध्ये सोनम कपूर ‘नीरजा भानोत’ च्या भूमिकेत झळकली होती . एका सत्यघटनेवर आधारित या चित्रपटामुळे काळाच्या पडद्यायाड गेलेली नीरजा भानोतची कहाणी पुन्हा एकदा जिवंत करण्याच आली होती . याच चित्रपटासाठी संपादकीय पसंतीच्या जोरावर सोनम कपूरला ‘स्टारडस्ट पुरस्कारने सन्मानित करण्यात आले . यावेळी आभार व्यक्त करताना सोनमने सर्वांना गोंधळात पाडणारे वक्तव्य केले . यापूढे ती कोणताही पुरस्कार स्वीकारताना अशी चूक होणार नाही याची नक्कीच खबरदारी घेईल . बॉलीवूड सुंदरींनी त्यांच्या सौंदर्याने आणि झगमगाटाने स्टारडस्ट पुरस्कार सोहळ्याच्या रेड कार्पेटला चारचाँद लावले . अमेरिकेहून मायदेशी परतलेली प्रियांका चोप्रा , ऐश्वर्या राय बच्चन , रेखा , अनुष्का शर्मा , सोनम कपूर , क्रिती सनॉन , शाहरुख खान , अमिताभ बच्चन , जया बच्चन , श्रीदेवी यांसह अनेक बॉलीवूड सेलिब्रिटींनी या पुरस्कार सोहळ्याला उपस्थिती लावली होती . यापूर्वी ‘राऊंड टेबल’ कार्यक्रमातील चर्चासत्रामध्ये बॉलिवूड अभिनेत्रींनी सहभागी होत विविध विषयांवर चर्चा केली . यामध्ये अभिनेत्री विद्या बालन , राधिका आपटे , अनुष्का शर्मा , आलिया भट्ट आणि सोनम कपूर अशा प्रसिद्ध अभिनेत्रींनी हजेरी लावली होती . यादरम्यानच अभिनेत्री सोनम कपूरने ‘लहान असताना माझाही विनयभंग झाला होता’ , असे म्हणत तिच्यासोबत घडलेल्या प्रसंगाची कबूली दिली होती . तिच्या या वक्तव्याने ती चर्चेत आली होती . तर अभिनेता संजय दत्तच्या आयुष्यावर बनत असलेल्या चित्रपटात रणबीर कपूर काम करणार असल्याचे केव्हाच ठरले होते . आता या चित्रपटात सोनमही झळकणार असल्याची चर्चा रंगली होती . ८० - ९० च्या दशकात संजूबाबाचे ज्या अभिनेत्रींसोबत नाव जोडले गेले होते त्यापैकी एका अभिनेत्रीची भूमिका सोनम साकारणार असल्याचे बोलले जात आहे . त्यावेळी संजूबाबासोबतच्या नात्यामुळे सर्वाधिक चर्चेत राहिलेली अभिनेत्री माधुरी दीक्षित हिच्या भूमिकेत सोनम दिसली तर त्यात नवल वाटायला नको . सोनमचे नाव पुढे आल्यामुळे या चित्रपटाबाबतची उत्सुकता वाढली होती ."
entertainment,"आफ्रिकेच्या दौऱ्यावर असलेले भारताचे पंतप्रधान नरेंद्र मोदी सध्या ट्रेंडिंग आहेत असे म्हणण्यास काहीच हरकत नाही . मोदींच्या कपड्यांपासून त्यांनी केलेल्या ट्रेन प्रवासाप्रर्यंत सर्वाचीच चर्चा सध्या ओसंडून वाहत आहे . मोदींच्या या आफ्रिका दौऱ्यावर अनेक ठिकाणांहून , प्रसारमाध्यमांतून आणि सोशल नेटवर्किंग साइट्सवरुन संमिश्र प्रतिक्रिया मिळत आहेत . या सर्व गदारोळात वादग्रस्त विनोदांसाठी प्रसिद्ध असणाऱ्या ‘एआयबी’ म्हणजेच ‘ऑल इंडिया बकचोद’ या यूट्यूब चॅनलने पुन्हा एकदा हे ‘विनोदास्त्र’ आजमावत पंतप्रधानांची खिल्ली उडवली आहे . नरेंद्र मोदींच्या आफ्रिका दौऱ्याला लक्ष करत ‘एआयबी’ने एक व्हिडिओ नुकताच प्रसिद्ध केला आहे . मोदी व्यासपीठावर उभे असताना एक आफ्रिकन बाई मोदींच्या स्वागतार्ह काहीतरी बोलत आहे आणि ते पंतप्रधानांना काही समजत नाही ; असे या व्हिडिओतून दाखवण्यात आले आहे . एक वेगळाच प्रेक्षक वर्ग असणाऱ्या ‘एआयबी’च्या चाहत्चांकडून हा व्हिडिओ अनेक लाइक्स आणि शेअर्स मिळवत आहे . काही दिवसांपूर्वीच एका वादग्रस्त व्हिडिओच्या पोस्टमुळे चर्चेत आलेल्या ‘एआयबी’ चॅनलने त्यांच्या फेसबुक पेजवर पंतप्रधानांसंबंधी बनवलेला हा विडंबनपर व्हिडिओ आता ‘एआयबी’ला कोणत्या वादाच्या भोवऱ्यात तर अडकवणार नाही ना . . ? हे येणाऱ्या काळातच ठरणार आहे ."
