"","age","type_employer","fnlwgt","education","education_num","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"30",49,"Private",193366,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"31",23,"Local-gov",190709,"Assoc-acdm",12,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,52,"United-States","<=50K"
"32",20,"Private",266015,"Some-college",10,"Never-married","Sales","Own-child","Black","Male",0,0,44,"United-States","<=50K"
"33",45,"Private",386940,"Bachelors",13,"Divorced","Exec-managerial","Own-child","White","Male",0,1408,40,"United-States","<=50K"
"34",30,"Federal-gov",59951,"Some-college",10,"Married-civ-spouse","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
"35",22,"State-gov",311512,"Some-college",10,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,15,"United-States","<=50K"
"36",48,"Private",242406,"11th",7,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,40,"Puerto-Rico","<=50K"
"37",21,"Private",197200,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
"38",19,"Private",544091,"HS-grad",9,"Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,25,"United-States","<=50K"
"39",31,"Private",84154,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,38,"?",">50K"
"40",48,"Self-emp-not-inc",265477,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"41",31,"Private",507875,"9th",5,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,43,"United-States","<=50K"
"42",53,"Self-emp-not-inc",88506,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"43",24,"Private",172987,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States","<=50K"
"44",49,"Private",94638,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"45",25,"Private",289980,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
"46",57,"Federal-gov",337895,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,0,40,"United-States",">50K"
"47",53,"Private",144361,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,38,"United-States","<=50K"
"48",44,"Private",128354,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"49",41,"State-gov",101603,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"50",29,"Private",271466,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,43,"United-States","<=50K"
"51",25,"Private",32275,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Other","Female",0,0,40,"United-States","<=50K"
"52",18,"Private",226956,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,30,"?","<=50K"
"53",47,"Private",51835,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,60,"Honduras",">50K"
"54",50,"Federal-gov",251585,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,55,"United-States",">50K"
"55",47,"Self-emp-inc",109832,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"56",43,"Private",237993,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",">50K"
"57",46,"Private",216666,"5th-6th",3,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K"
"58",35,"Private",56352,"Assoc-voc",11,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Puerto-Rico","<=50K"
"59",41,"Private",147372,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States","<=50K"
"60",30,"Private",188146,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States","<=50K"
"61",30,"Private",59496,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",2407,0,40,"United-States","<=50K"
"62",32,"?",293936,"7th-8th",4,"Married-spouse-absent","?","Not-in-family","White","Male",0,0,40,"?","<=50K"
"63",48,"Private",149640,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
"64",42,"Private",116632,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
"65",29,"Private",105598,"Some-college",10,"Divorced","Tech-support","Not-in-family","White","Male",0,0,58,"United-States","<=50K"
"66",36,"Private",155537,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"67",28,"Private",183175,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"68",53,"Private",169846,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
"69",49,"Self-emp-inc",191681,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"70",25,"?",200681,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,40,"United-States","<=50K"
"71",19,"Private",101509,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,32,"United-States","<=50K"
"72",31,"Private",309974,"Bachelors",13,"Separated","Sales","Own-child","Black","Female",0,0,40,"United-States","<=50K"
"73",29,"Self-emp-not-inc",162298,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States",">50K"
"74",23,"Private",211678,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"75",79,"Private",124744,"Some-college",10,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",0,0,20,"United-States","<=50K"
"76",27,"Private",213921,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico","<=50K"
"77",40,"Private",32214,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
"78",67,"?",212759,"10th",6,"Married-civ-spouse","?","Husband","White","Male",0,0,2,"United-States","<=50K"
"79",18,"Private",309634,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,22,"United-States","<=50K"
"80",31,"Local-gov",125927,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K"
"81",18,"Private",446839,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
"82",52,"Private",276515,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Cuba","<=50K"
"83",46,"Private",51618,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States","<=50K"
"84",59,"Private",159937,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","<=50K"
"85",44,"Private",343591,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Female",14344,0,40,"United-States",">50K"
"86",53,"Private",346253,"HS-grad",9,"Divorced","Sales","Own-child","White","Female",0,0,35,"United-States","<=50K"
"87",49,"Local-gov",268234,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
"88",33,"Private",202051,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"89",30,"Private",54334,"9th",5,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"90",43,"Federal-gov",410867,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",">50K"
"91",57,"Private",249977,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"92",37,"Private",286730,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"93",28,"Private",212563,"Some-college",10,"Divorced","Machine-op-inspct","Unmarried","Black","Female",0,0,25,"United-States","<=50K"
"94",30,"Private",117747,"HS-grad",9,"Married-civ-spouse","Sales","Wife","Asian-Pac-Islander","Female",0,1573,35,"?","<=50K"
"95",34,"Local-gov",226296,"Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
"96",29,"Local-gov",115585,"Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"97",48,"Self-emp-not-inc",191277,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,60,"United-States",">50K"
"98",37,"Private",202683,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States",">50K"
"99",48,"Private",171095,"Assoc-acdm",12,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"England","<=50K"
"100",32,"Federal-gov",249409,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"101",76,"Private",124191,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"102",44,"Private",198282,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,"United-States",">50K"
"103",47,"Self-emp-not-inc",149116,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"104",20,"Private",188300,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States","<=50K"
"105",29,"Private",103432,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"106",32,"Self-emp-inc",317660,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
"107",17,"?",304873,"10th",6,"Never-married","?","Own-child","White","Female",34095,0,32,"United-States","<=50K"
"108",30,"Private",194901,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
"109",31,"Local-gov",189265,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"110",42,"Private",124692,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
"111",24,"Private",432376,"Bachelors",13,"Never-married","Sales","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"112",38,"Private",65324,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"113",56,"Self-emp-not-inc",335605,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,1887,50,"Canada",">50K"
"114",28,"Private",377869,"Some-college",10,"Married-civ-spouse","Sales","Wife","White","Female",4064,0,25,"United-States","<=50K"
"115",36,"Private",102864,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
"116",53,"Private",95647,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States","<=50K"
"117",56,"Self-emp-inc",303090,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"118",49,"Local-gov",197371,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",">50K"
"119",55,"Private",247552,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,56,"United-States","<=50K"
"120",22,"Private",102632,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,41,"United-States","<=50K"
"121",21,"Private",199915,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K"
"122",40,"Private",118853,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K"
"123",30,"Private",77143,"Bachelors",13,"Never-married","Exec-managerial","Own-child","Black","Male",0,0,40,"Germany","<=50K"
"124",29,"State-gov",267989,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"125",19,"Private",301606,"Some-college",10,"Never-married","Other-service","Own-child","Black","Male",0,0,35,"United-States","<=50K"
"126",47,"Private",287828,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
"127",20,"Private",111697,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,1719,28,"United-States","<=50K"
"128",31,"Private",114937,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K"
"129",35,"?",129305,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States","<=50K"
"130",39,"Private",365739,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"131",28,"Private",69621,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
"132",24,"Private",43323,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,1762,40,"United-States","<=50K"
"133",38,"Self-emp-not-inc",120985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,35,"United-States","<=50K"
"134",37,"Private",254202,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"135",46,"Private",146195,"Assoc-acdm",12,"Divorced","Tech-support","Not-in-family","Black","Female",0,0,36,"United-States","<=50K"
"136",38,"Federal-gov",125933,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran",">50K"
"137",43,"Self-emp-not-inc",56920,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"138",27,"Private",163127,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K"
"139",20,"Private",34310,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K"
"140",49,"Private",81973,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",">50K"
"141",61,"Self-emp-inc",66614,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"142",27,"Private",232782,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
"143",19,"Private",316868,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"Mexico","<=50K"
"144",45,"Private",196584,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1564,40,"United-States",">50K"
"145",70,"Private",105376,"Some-college",10,"Never-married","Tech-support","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"146",31,"Private",185814,"HS-grad",9,"Never-married","Transport-moving","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
"147",22,"Private",175374,"Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,24,"United-States","<=50K"
"148",36,"Private",108293,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,24,"United-States","<=50K"
"149",64,"Private",181232,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States","<=50K"
"150",43,"?",174662,"Some-college",10,"Divorced","?","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"151",47,"Local-gov",186009,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"Mexico","<=50K"
"152",34,"Private",198183,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"153",33,"Private",163003,"Bachelors",13,"Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines","<=50K"
"154",21,"Private",296158,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States","<=50K"
"155",52,"?",252903,"HS-grad",9,"Divorced","?","Not-in-family","White","Male",0,0,45,"United-States",">50K"
"156",48,"Private",187715,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States","<=50K"
"157",23,"Private",214542,"Bachelors",13,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"158",71,"Self-emp-not-inc",494223,"Some-college",10,"Separated","Sales","Unmarried","Black","Male",0,1816,2,"United-States","<=50K"
"159",29,"Private",191535,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"160",42,"Private",228456,"Bachelors",13,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States","<=50K"
"161",68,"?",38317,"1st-4th",2,"Divorced","?","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
"162",25,"Private",252752,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"163",44,"Self-emp-inc",78374,"Masters",14,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
"164",28,"Private",88419,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"England","<=50K"
"165",45,"Self-emp-not-inc",201080,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
"166",36,"Private",207157,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"Mexico","<=50K"
"167",39,"Federal-gov",235485,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,42,"United-States","<=50K"
"168",46,"State-gov",102628,"Masters",14,"Widowed","Protective-serv","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"169",18,"Private",25828,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,16,"United-States","<=50K"
"170",66,"Local-gov",54826,"Assoc-voc",11,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
"171",27,"Private",124953,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"172",28,"State-gov",175325,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
"173",51,"Private",96062,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"174",27,"Private",428030,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"175",28,"State-gov",149624,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"176",27,"Private",253814,"HS-grad",9,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,25,"United-States","<=50K"
"177",21,"Private",312956,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"178",34,"Private",483777,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
"179",18,"Private",183930,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K"
"180",33,"Private",37274,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"United-States","<=50K"
"181",44,"Local-gov",181344,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,38,"United-States",">50K"
"182",43,"Private",114580,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"183",30,"Private",633742,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,45,"United-States","<=50K"
"184",40,"Private",286370,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico",">50K"
"185",37,"Federal-gov",29054,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,42,"United-States",">50K"
"186",34,"Private",304030,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,40,"United-States","<=50K"
"187",41,"Self-emp-not-inc",143129,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"188",53,"?",135105,"Bachelors",13,"Divorced","?","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"189",31,"Private",99928,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States","<=50K"
"190",58,"State-gov",109567,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,1,"United-States",">50K"
"191",38,"Private",155222,"Some-college",10,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,28,"United-States","<=50K"
"192",24,"Private",159567,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"193",41,"Local-gov",523910,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","<=50K"
"194",47,"Private",120939,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"United-States","<=50K"
"195",41,"Federal-gov",130760,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States","<=50K"
"196",23,"Private",197387,"5th-6th",3,"Married-civ-spouse","Transport-moving","Other-relative","White","Male",0,0,40,"Mexico","<=50K"
"197",36,"Private",99374,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"198",40,"Federal-gov",56795,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,55,"United-States",">50K"
"199",35,"Private",138992,"Masters",14,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",7298,0,40,"United-States",">50K"
"200",24,"Self-emp-not-inc",32921,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"201",26,"Private",397317,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
"202",19,"?",170653,"HS-grad",9,"Never-married","?","Own-child","White","Male",0,0,40,"Italy","<=50K"
"203",51,"Private",259323,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"204",42,"Local-gov",254817,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1340,40,"United-States","<=50K"
"205",37,"State-gov",48211,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"United-States","<=50K"
"206",18,"Private",140164,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
"207",36,"Private",128757,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","Black","Male",7298,0,36,"United-States",">50K"
"208",35,"Private",36270,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"209",58,"Self-emp-inc",210563,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",15024,0,35,"United-States",">50K"
"210",17,"Private",65368,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,12,"United-States","<=50K"
"211",44,"Local-gov",160943,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States","<=50K"
"212",37,"Private",208358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"213",35,"Private",153790,"Some-college",10,"Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",0,0,40,"United-States","<=50K"
"214",60,"Private",85815,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States","<=50K"
