A1	A2	A3	A8	A9	A10	A11	A12	A14	A15	R1
1	28.92	15	5.335	1	0	11	1	0	2283	1
1	29.67	1.415	0.75	1	0	1	1	240	100	1
1	39.58	13.915	8.625	1	0	6	0	70	0	1
1	56.42	28	28.5	1	0	40	1	0	15	1
1	54.33	6.75	2.625	1	0	11	0	0	284	1
0	41	2.04	0.125	1	0	23	0	455	1236	1
1	31.92	4.46	6.04	1	0	3	1	311	300	1
1	41.5	1.54	3.5	0	1	0	1	216	0	1
1	23.92	0.665	0.165	0	1	0	1	100	0	1
0	25.75	0.5	0.875	1	1	0	0	491	0	1
1	26	1	1.75	1	1	0	0	280	0	1
1	37.42	2.04	0.04	1	1	0	0	400	5800	1
1	34.92	2.5	0	1	1	0	0	239	200	1
1	34.25	3	7.415	1	1	0	0	0	0	1
1	23.33	11.625	0.835	1	1	0	0	160	300	1
1	23.17	0	0.085	1	1	0	1	0	0	1
1	44.33	0.5	5	1	1	0	0	320	0	1
1	35.17	4.5	5.75	0	1	0	0	711	0	1
1	43.25	3	6	1	0	11	1	80	0	1
1	56.75	12.25	1.25	1	0	4	0	200	0	1
1	31.67	16.165	3	1	0	9	1	250	730	1
0	23.42	0.79	1.5	1	0	2	0	80	400	1
0	20.42	0.835	1.585	1	0	1	1	0	0	1
1	26.67	4.25	4.29	1	0	1	0	120	0	1
1	34.17	1.54	1.54	1	0	1	0	520	50000	1
0	36	1	2	1	0	11	1	0	456	1
1	25.5	0.375	0.25	1	0	3	1	260	15108	1
1	19.42	6.5	1.46	1	0	7	1	80	2954	1
1	35.17	25.125	1.625	1	0	1	0	515	500	1
1	32.33	7.5	1.585	1	1	0	0	420	0	0
0	38.58	5	13.5	1	1	0	0	980	0	0
1	44.25	0.5	10.75	1	1	0	1	400	0	0
1	44.83	7	1.625	0	1	0	1	160	2	0
1	20.67	5.29	0.375	1	0	1	1	160	0	0
1	34.08	6.5	0.125	1	1	0	0	443	0	0
0	19.17	0.585	0.585	1	1	0	0	160	0	0
1	21.67	1.165	2.5	1	0	1	1	180	20	0
1	21.5	9.75	0.25	1	1	0	1	140	0	0
1	49.58	19	0	1	0	1	1	94	0	0
0	27.67	1.5	2	1	1	0	1	368	0	0
1	39.83	0.5	0.25	1	1	0	1	288	0	0
1	27.25	0.625	0.455	1	1	0	0	200	0	0
1	37.17	4	5	1	1	0	0	280	0	0
1	25.67	2.21	4	1	1	0	1	188	0	0
1	34	4.5	1	1	1	0	0	240	0	0
0	49	1.5	0	1	1	0	0	100	27	0
1	62.5	12.75	5	1	1	0	1	112	0	0
1	31.42	15.5	0.5	1	1	0	1	120	0	0
1	52.33	1.375	9.46	1	1	0	0	200	100	0
1	28.75	1.5	1.5	1	1	0	0	0	225	0
0	28.58	3.54	0.5	1	1	0	0	171	0	0
1	23	0.625	0.125	1	1	0	1	180	1	0
0	22.5	11	3	1	1	0	0	268	0	0
0	28.5	1	1	1	0	2	0	167	500	0
1	37.5	1.75	0.25	1	1	0	0	164	400	0
1	35.25	16.5	4	1	1	0	1	80	0	0
1	18.67	5	0.375	1	0	2	1	0	38	0
1	25	12	2.25	1	0	2	0	120	5	0
1	27.83	4	5.75	1	0	2	0	75	0	0
1	54.83	15.5	0	1	0	20	1	152	130	0
1	28.75	1.165	0.5	1	1	0	1	280	0	0
0	25	11	4.5	1	1	0	1	120	0	0
1	40.92	2.25	10	1	1	0	0	176	0	0
0	19.75	0.75	0.795	1	0	5	0	140	5	0
1	29.17	3.5	3.5	1	0	3	0	329	0	0
0	24.5	1.04	0.5	1	0	3	1	180	147	0
1	24.58	12.5	0.875	1	1	0	0	260	0	0
0	33.75	0.75	1	1	0	3	0	212	0	0
1	20.67	1.25	1.375	1	0	3	0	140	210	0
0	25.42	1.125	1.29	1	0	2	1	200	0	0
1	37.75	7	11.5	1	0	7	0	300	5	0
1	52.5	6.5	6.29	1	0	15	1	0	11202	1
1	57.83	7.04	14	1	0	6	0	360	1332	1
0	20.75	10.335	0.335	1	0	1	0	80	50	1
1	39.92	6.21	0.04	1	0	1	1	200	300	1
1	25.67	12.5	1.21	1	0	67	0	140	258	1
0	24.75	12.5	1.5	1	0	12	0	120	567	1
0	44.17	6.665	7.375	1	0	3	0	0	0	1
0	23.5	9	8.5	1	0	5	0	120	0	1
1	34.92	5	7.5	1	0	6	0	0	1000	1
1	47.67	2.5	2.5	1	0	12	0	410	2510	1
1	22.75	11	2.5	1	0	7	0	100	809	1
1	34.42	4.25	3.25	1	0	2	1	274	610	1
0	28.42	3.5	0.835	1	1	0	1	280	0	1
1	67.75	5.5	13	1	0	1	0	0	0	1
1	20.42	1.835	2.25	1	0	1	1	100	150	1
0	47.42	8	6.5	1	0	6	1	375	51100	1
1	36.25	5	2.5	1	0	6	1	0	367	1
1	32.67	5.5	5.5	1	0	12	0	408	1000	1
1	48.58	6.5	6	1	1	0	0	350	0	1
1	39.92	0.54	0.5	1	0	3	1	200	1000	1
1	33.58	2.75	4.25	1	0	6	1	204	0	1
0	18.83	9.5	1.625	1	0	6	0	40	600	1
0	26.92	13.5	5	1	0	2	1	0	5000	1
0	31.25	3.75	0.625	1	0	9	0	181	0	1
0	56.5	16	0	1	0	15	1	0	247	1
1	43	0.29	1.75	1	0	8	1	100	375	1
1	22.33	11	2	1	0	1	1	80	278	1
1	27.25	1.665	5.085	1	0	9	1	399	827	1
1	32.83	2.5	2.75	1	0	6	1	160	2072	1
1	23.25	1.5	2.375	1	0	3	0	0	582	1
0	40.33	7.54	8	1	0	14	1	0	2300	1
0	30.5	6.5	4	1	0	7	0	0	3065	1
0	52.83	15	5.5	1	0	14	1	0	2200	1
0	46.67	0.46	0.415	1	0	11	0	440	6	1
0	58.33	10	4	1	0	14	1	0	1602	1
1	37.33	6.5	4.25	1	0	12	0	93	0	1
1	23.08	2.5	1.085	1	0	11	0	60	2184	1
1	32.75	1.5	5.5	1	0	3	0	0	0	1
0	21.67	11.5	0	1	0	11	0	0	0	1
0	28.5	3.04	2.54	1	0	1	1	70	0	1
0	68.67	15	0	1	0	14	1	0	3376	1
1	28	2	4.165	1	0	2	0	181	0	1
1	34.08	0.08	0.04	1	0	1	0	280	2000	1
1	27.67	2	1	1	0	4	1	140	7544	1
1	44	2	1.75	1	0	2	0	0	15	1
1	25.08	1.71	1.665	1	0	1	0	395	20	1
1	32	1.75	0.04	1	1	0	0	393	0	1
0	60.58	16.5	11	1	1	0	0	21	10561	1
0	40.83	10	1.75	1	1	0	1	29	837	1
1	19.33	9.5	1	1	1	0	0	60	400	1
0	32.33	0.54	0.04	1	1	0	1	440	11177	1
1	36.67	3.25	9	1	1	0	0	102	639	1
1	37.5	1.125	1.5	0	1	0	0	431	0	1
0	25.08	2.54	0.25	1	1	0	0	370	0	1
1	41.33	0	15	1	1	0	1	0	0	1
1	56	12.5	8	1	1	0	0	24	2028	1
0	49.83	13.585	8.5	1	1	0	0	0	0	1
1	22.67	10.5	1.335	1	1	0	1	100	0	1
1	27	1.5	0.375	1	1	0	0	260	1065	1
1	25	12.5	3	1	1	0	0	20	0	1
0	26.08	8.665	1.415	1	1	0	1	160	150	1
0	18.42	9.25	1.21	1	0	4	1	60	540	1
1	20.17	8.17	1.96	1	0	14	1	60	158	1
1	47.67	0.29	15	1	0	20	1	0	15000	1
0	21.25	2.335	0.5	1	0	4	1	80	0	1
0	20.67	3	0.165	1	0	3	1	100	6	1
0	57.08	19.5	5.5	1	0	7	1	0	3000	1
0	22.42	5.665	2.585	1	0	7	1	129	3257	1
1	48.75	8.5	12.5	1	0	9	1	181	1655	1
1	40	6.5	3.5	1	0	1	1	0	500	1
1	40.58	5	5	1	0	7	1	0	3065	1
0	28.67	1.04	2.5	1	0	5	0	300	1430	1
0	33.08	4.625	1.625	1	0	2	1	0	0	1
1	21.33	10.5	3	1	1	0	0	0	0	1
1	42	0.205	5.125	1	1	0	1	400	0	1
1	41.75	0.96	2.5	1	1	0	1	510	600	1
1	22.67	1.585	3.085	1	0	6	1	80	0	1
1	34.5	4.04	8.5	1	0	7	0	195	0	1
1	28.25	5.04	1.5	1	0	8	0	144	7	1
1	33.17	3.165	3.165	1	0	3	0	380	0	1
1	48.17	7.625	15.5	1	0	12	1	0	790	1
1	27.58	2.04	2	1	0	3	0	370	560	1
1	22.58	10.04	0.04	1	0	9	1	60	396	1
0	24.08	0.5	1.25	1	0	1	1	0	678	1
0	41.33	1	2.25	1	1	0	0	0	300	1
0	20.75	10.25	0.71	1	0	2	0	49	0	1
1	36.33	2.125	0.085	1	0	1	1	50	1187	1
0	35.42	12	14	1	0	8	1	0	6590	1
1	28.67	9.335	5.665	1	0	6	1	381	168	1
1	35.17	2.5	4.5	1	0	7	1	150	1270	1
1	39.5	4.25	6.5	1	0	16	1	117	1210	1
1	39.33	5.875	10	1	0	14	0	399	0	1
1	24.33	6.625	5.5	1	1	0	0	100	0	1
1	60.08	14.5	18	1	0	15	0	0	1000	1
1	23.08	11.5	3.5	1	0	9	1	56	742	1
1	26.67	2.71	5.25	1	0	1	1	211	0	1
1	48.17	3.5	3.5	1	1	0	1	230	0	1
1	41.17	4.04	7	1	0	8	1	320	0	1
1	55.92	11.5	5	1	0	5	1	0	8851	1
1	53.92	9.625	8.665	1	0	5	1	0	0	1
0	18.92	9.25	1	1	0	4	0	80	500	1
0	50.08	12.54	2.29	1	0	3	0	156	0	1
1	65.42	11	20	1	0	7	0	22	0	1
0	17.58	9	1.375	1	1	0	0	0	0	1
0	18.83	9.54	0.085	1	1	0	1	100	0	1
0	37.75	5.5	0.125	1	1	0	0	228	0	1
1	23.25	4	0.25	1	1	0	0	160	0	1
1	18.08	5.5	0.5	1	1	0	1	80	0	1
0	22.5	8.46	2.46	0	1	0	1	164	0	1
1	19.67	0.375	2	1	0	2	0	80	0	1
1	22.08	11	0.665	1	1	0	1	100	0	1
1	25.17	3.5	0.625	1	0	7	1	0	7059	1
0	47.42	3	13.875	1	0	2	0	519	1704	1
1	33.5	1.75	4.5	1	0	4	0	253	857	1
1	27.67	13.75	5.75	1	1	0	0	487	500	1
0	58.42	21	10	1	0	13	1	0	6700	1
0	20.67	1.835	2.085	1	0	5	1	220	2503	1
1	26.17	0.25	0	1	1	0	0	0	0	1
1	21.33	7.5	1.415	1	0	1	1	80	9800	1
1	42.83	4.625	4.58	1	1	0	1	0	0	1
1	38.17	10.125	2.5	1	0	6	1	520	196	1
1	20.5	10	2.5	1	1	0	1	40	0	1
1	48.25	25.085	1.75	1	0	3	1	120	14	1
1	28.33	5	11	1	1	0	0	70	0	1
1	18.5	2	1.5	1	0	2	1	120	300	1
1	33.17	3.04	2.04	1	0	1	0	180	18027	1
1	45	8.5	14	1	0	1	0	88	2000	1
0	19.67	0.21	0.29	1	0	11	1	80	99	1
1	21.83	11	0.29	1	0	6	1	121	0	1
1	40.25	21.5	20	1	0	11	1	0	1200	1
1	41.42	5	5	1	0	6	0	470	0	1
0	17.83	11	1	1	0	11	1	0	3000	1
1	23.17	11.125	0.46	1	0	1	1	100	0	1
1	18.17	10.25	1.085	0	1	0	1	320	13	0
1	20	11.045	2	0	1	0	0	136	0	0
1	20	0	0.5	0	1	0	1	144	0	0
0	20.75	9.54	0.04	0	1	0	1	200	1000	0
0	24.5	1.75	0.165	0	1	0	1	132	0	0
1	32.75	2.335	5.75	0	1	0	0	292	0	0
0	52.17	0	0	0	1	0	1	0	0	0
0	48.17	1.335	0.335	0	1	0	1	0	120	0
0	20.42	10.5	0	0	1	0	0	154	32	0
1	50.75	0.585	0	0	1	0	1	145	0	0
1	17.08	0.085	0.04	0	1	0	1	140	722	0
1	18.33	1.21	0	0	1	0	1	100	0	0
0	32	6	1.25	0	1	0	1	272	0	0
1	59.67	1.54	0.125	1	1	0	0	260	0	1
1	18	0.165	0.21	0	1	0	1	200	40	1
1	32.33	2.5	1.25	0	1	0	0	280	0	0
1	18.08	6.75	0.04	0	1	0	1	140	0	0
1	38.25	10.125	0.125	0	1	0	1	160	0	0
1	30.67	2.5	2.25	0	1	0	0	340	0	0
1	18.58	5.71	0.54	0	1	0	1	120	0	0
0	19.17	5.415	0.29	0	1	0	1	80	484	0
0	18.17	10	0.165	0	1	0	1	340	0	0
1	16.25	0.835	0.085	1	1	0	1	200	0	0
1	21.17	0.875	0.25	0	1	0	1	280	204	0
1	23.92	0.585	0.125	0	1	0	1	240	1	0
1	17.67	4.46	0.25	0	1	0	1	80	0	0
0	16.5	1.25	0.25	0	0	1	1	108	98	0
1	23.25	12.625	0.125	0	0	2	1	0	5552	0
1	17.58	10	0.165	0	0	1	1	120	1	0
1	29.5	0.58	0.29	0	0	1	1	340	2803	0
1	18.83	0.415	0.165	0	0	1	1	200	1	0
0	21.75	1.75	0	0	1	0	1	160	0	0
1	23	0.75	0.5	0	1	0	0	320	0	0
0	18.25	10	1	0	0	1	1	120	1	0
1	25.42	0.54	0.165	0	0	1	1	272	444	0
1	35.75	2.415	0.125	0	0	2	1	220	1	0
0	16.08	0.335	0	0	0	1	1	160	126	0
0	31.92	3.125	3.04	0	0	2	0	200	4	0
1	69.17	9	4	0	0	1	1	70	6	0
1	32.92	2.5	1.75	0	0	2	0	720	0	0
1	16.33	2.75	0.665	0	0	1	1	80	21	0
1	22.17	12.125	3.335	0	0	2	0	180	173	0
0	57.58	2	6.5	0	0	1	1	0	10	0
1	18.25	0.165	0.25	0	1	0	0	280	0	0
1	23.42	1	0.5	0	1	0	0	280	0	0
0	15.92	2.875	0.085	0	1	0	1	120	0	0
0	24.75	13.665	1.5	0	1	0	1	280	1	0
1	48.75	26.335	0	1	1	0	0	0	0	0
1	23.5	2.75	4.5	0	1	0	1	160	25	0
1	18.58	10.29	0.415	0	1	0	1	80	0	0
1	27.75	1.29	0.25	0	1	0	0	140	0	0
0	31.75	3	0	0	1	0	1	160	20	0
0	24.83	4.5	1	0	1	0	0	360	6	0
1	19	1.75	2.335	0	1	0	0	112	6	0
0	16.33	0.21	0.125	0	1	0	1	200	1	0
0	18.58	10	0.415	0	1	0	1	80	42	0
1	16.25	0	0.25	0	1	0	1	60	0	0
1	23	0.75	0.5	1	1	0	0	320	0	0
1	21.17	0.25	0.25	0	1	0	1	280	204	0
1	17.5	22	0	0	1	0	0	450	100000	1
1	19.17	0	0	0	1	0	0	500	1	1
1	36.75	0.125	1.5	0	1	0	0	232	113	1
1	21.25	1.5	1.5	0	1	0	1	150	8	1
0	18.08	0.375	10	0	1	0	0	300	0	1
0	33.67	0.375	0.375	0	1	0	1	300	44	1
1	48.58	0.205	0.25	1	0	11	1	380	2732	1
1	33.67	1.25	1.165	0	1	0	1	120	0	0
0	29.5	1.085	1	0	1	0	1	280	13	0
1	30.17	1.085	0.04	0	1	0	1	170	179	0
1	34.83	2.5	3	0	1	0	1	200	0	0
0	33.25	2.5	2.5	0	1	0	0	0	2	0
1	34.08	2.5	1	0	1	0	1	460	16	0
0	25.25	12.5	1	0	1	0	0	180	1062	0
1	34.75	2.5	0.5	0	1	0	1	348	0	0
1	27.67	0.75	0.165	0	1	0	0	220	251	0
1	47.33	6.5	1	0	1	0	0	0	228	0
0	34.83	1.25	0.5	0	1	0	0	160	0	0
0	33.25	3	2	0	1	0	1	180	0	0
1	28	3	0.75	0	1	0	0	300	67	0
0	39.08	4	3	0	1	0	1	480	0	0
1	42.75	4.085	0.04	0	1	0	1	108	100	0
1	26.92	2.25	0.5	0	1	0	0	640	4000	0
1	33.75	2.75	0	0	1	0	1	180	0	0
1	38.92	1.75	0.5	0	1	0	0	300	2	0
1	62.75	7	0	0	1	0	1	0	12	0
1	26.75	4.5	2.5	0	1	0	1	200	1210	0
1	63.33	0.54	0.585	1	0	3	0	180	0	0
1	27.83	1.5	2.25	0	0	1	0	100	3	0
0	26.17	2	0	0	1	0	0	276	1	0
1	22.17	0.585	0	0	1	0	1	100	0	0
1	22.5	11.5	1.5	0	1	0	0	0	4000	0
1	30.75	1.585	0.585	0	1	0	0	0	0	0
1	36.67	2	0.25	0	1	0	0	221	0	0
0	16	0.165	1	0	0	2	0	320	1	0
1	41.17	1.335	0.165	0	1	0	1	168	0	0
0	19.5	0.165	0.04	0	1	0	0	380	0	0
1	32.42	3	0.165	0	1	0	0	120	0	0
0	36.75	4.71	0	0	1	0	1	160	0	0
0	30.25	5.5	5.5	0	1	0	0	100	0	0
1	23.08	2.5	0.085	0	1	0	0	100	4208	0
1	26.83	0.54	0	0	1	0	1	100	0	0
1	16.92	0.335	0.29	0	1	0	1	200	0	0
1	24.42	2	0.165	0	0	2	1	320	1300	0
1	42.83	1.25	13.875	0	0	1	0	352	112	0
0	22.75	6.165	0.165	0	1	0	1	220	1000	0
1	39.42	1.71	0.165	0	1	0	1	400	0	0
0	23.58	11.5	3	0	1	0	0	20	16	0
1	21.42	0.75	0.75	0	1	0	0	132	2	0
1	33	2.5	7	0	1	0	0	280	0	0
1	26.33	13	0	0	1	0	0	140	1110	0
0	45	4.585	1	0	1	0	0	240	0	0
1	26.25	1.54	0.125	0	1	0	1	100	0	0
0	20.83	0.5	1	0	1	0	1	260	0	0
1	28.67	14.5	0.125	0	1	0	1	0	286	0
1	20.67	0.835	2	0	1	0	0	240	0	0
1	34.42	1.335	0.125	0	1	0	0	440	4500	0
1	33.58	0.25	4	0	1	0	0	420	0	0
1	43.17	5	2.25	0	1	0	0	141	0	0
0	22.67	7	0.165	0	1	0	1	160	0	0
0	24.33	2.5	4.5	0	1	0	1	200	456	0
0	56.83	4.25	5	0	1	0	0	0	4	0
1	22.08	11.46	1.585	0	1	0	0	100	1212	0
1	34	5.5	1.5	0	1	0	0	60	0	0
1	22.58	1.5	0.54	0	1	0	0	120	67	0
1	21.17	0	0.5	0	1	0	0	0	0	0
1	26.67	14.585	0	0	1	0	0	178	0	0
1	22.92	0.17	0.085	0	1	0	1	0	0	0
1	15.17	7	1	0	1	0	1	600	0	0
1	39.92	5	0.21	0	1	0	1	550	0	0
1	27.42	12.5	0.25	0	1	0	0	720	0	0
1	24.75	0.54	1	0	1	0	0	120	1	0
1	41.17	1.25	0.25	0	1	0	1	0	195	0
0	33.08	1.625	0.54	0	1	0	0	0	0	0
1	29.83	2.04	0.04	0	1	0	1	128	1	0
0	23.58	0.585	0.125	0	1	0	1	120	87	0
1	26.17	12.5	1.25	0	1	0	0	0	17	0
1	31	2.085	0.085	0	1	0	1	300	0	0
1	20.75	5.085	0.29	0	1	0	1	140	184	0
1	28.92	0.375	0.29	0	1	0	1	220	140	0
0	51.92	6.5	3.085	0	1	0	0	73	0	0
0	22.67	0.335	0.75	0	1	0	1	160	0	0
1	34	5.085	1.085	0	1	0	0	480	0	0
0	69.5	6	0	0	1	0	1	0	0	0
0	19.58	0.665	1	0	0	1	1	2000	2	0
1	16	3.125	0.085	0	0	1	1	0	6	0
1	17.08	0.25	0.335	0	0	4	1	160	8	0
1	31.25	2.835	0	0	0	5	1	176	146	0
1	25.17	3	1.25	0	0	1	1	0	22	0
0	22.67	0.79	0.085	0	1	0	1	144	0	0
1	40.58	1.5	0	0	1	0	1	300	0	0
1	22.25	0.46	0.125	0	1	0	0	280	55	0
0	22.25	1.25	3.25	0	1	0	1	280	0	0
1	22.5	0.125	0.125	0	1	0	1	200	70	0
1	23.58	1.79	0.54	0	1	0	0	136	1	0
1	38.42	0.705	0.375	0	0	2	1	225	500	0
0	26.58	2.54	0	0	1	0	0	180	60	0
1	35	2.5	1	0	1	0	0	210	0	0
1	20.42	1.085	1.5	0	1	0	1	108	7	0
1	29.42	1.25	1.75	0	1	0	1	200	0	0
1	26.17	0.835	1.165	0	1	0	1	100	0	0
1	33.67	2.165	1.5	0	1	0	1	120	0	0
1	24.58	1.25	0.25	0	1	0	1	110	0	0
0	27.67	2.04	0.25	0	1	0	0	180	50	0
1	37.5	0.835	0.04	0	1	0	1	120	5	0
1	49.17	2.29	0.29	0	1	0	1	200	3	0
1	33.58	0.335	0.085	0	1	0	1	180	0	0
1	51.83	3	1.5	0	1	0	1	180	4	0
1	22.92	3.165	0.165	0	1	0	1	160	1058	0
1	21.83	1.54	0.085	0	1	0	0	356	0	0
1	25.25	1	0.5	0	1	0	1	200	0	0
1	58.58	2.71	2.415	0	1	0	0	320	0	0
1	19	0	0	0	0	4	1	45	1	0
1	19.58	0.585	0	0	0	3	1	350	769	0
0	53.33	0.165	0	0	1	0	0	62	27	0
0	27.17	1.25	0	0	0	1	1	92	300	0
1	25.92	0.875	0.375	0	0	2	0	174	3	0
1	23.08	0	1	0	0	11	1	0	0	0
1	39.58	5	0	0	0	2	1	17	1	0
1	30.58	2.71	0.125	0	1	0	0	80	0	0
1	17.25	3	0.04	0	1	0	0	160	40	0
0	17.67	0	0	0	1	0	1	86	0	0
1	16.5	0.125	0.165	0	1	0	1	132	0	0
0	27.33	1.665	0	0	1	0	1	340	1	0
1	31.25	1.125	0	0	0	1	1	96	19	0
1	20	7	0.5	0	1	0	1	0	0	0
1	39.5	1.625	1.5	0	1	0	1	0	316	0
1	36.5	4.25	3.5	0	1	0	1	454	50	0
1	52.42	1.5	3.75	0	1	0	0	0	350	0
1	36.17	18.125	0.085	0	1	0	1	320	3552	0
1	29.67	0.75	0.04	0	1	0	1	240	0	0
1	36.17	5.5	5	0	1	0	1	210	687	0
1	25.67	0.29	1.5	0	1	0	0	160	0	0
0	24.5	2.415	0	0	1	0	1	120	0	0
1	24.08	0.875	0.085	0	0	4	1	254	1950	0
1	21.92	0.5	0.125	0	1	0	1	360	0	0
0	36.58	0.29	0	0	0	10	1	200	18	0
0	23	1.835	0	0	0	1	1	200	53	0
0	27.58	3	2.79	0	0	1	0	280	10	0
1	31.08	3.085	2.5	0	0	2	0	160	41	0
0	30.42	1.375	0.04	0	0	3	1	0	33	0
1	22.08	2.335	0.75	0	1	0	1	180	0	0
1	16.33	4.085	0.415	0	1	0	0	120	0	0
0	21.92	11.665	0.085	0	1	0	1	320	5	0
1	21.08	4.125	0.04	0	1	0	1	140	100	0
1	17.42	6.5	0.125	0	1	0	1	60	100	0
1	19.17	4	1	0	1	0	0	360	1000	0
1	20.67	0.415	0.125	0	1	0	1	0	44	0
1	26.75	2	0.75	0	1	0	0	80	0	0
1	23.58	0.835	0.085	0	1	0	0	220	5	0
1	39.17	2.5	10	0	1	0	0	200	0	0
1	22.75	11.5	0.415	0	1	0	1	0	0	0
0	16.92	0.5	0.165	0	0	6	0	240	35	0
1	23.5	3.165	0.415	0	0	1	0	280	80	0
0	17.33	9.5	1.75	0	0	10	0	0	10	0
1	23.75	0.415	0.04	0	0	2	1	128	6	0
1	34.67	1.08	1.165	0	1	0	1	28	0	0
1	74.83	19	0.04	0	0	2	1	0	351	0
1	28.17	0.125	0.085	0	1	0	1	216	2100	0
1	24.5	13.335	0.04	0	1	0	0	120	475	0
1	18.83	3.54	0	0	1	0	0	180	1	0
0	47.25	0.75	2.75	1	0	1	1	333	892	1
1	24.17	0.875	4.625	1	0	2	0	520	2000	1
1	39.25	9.5	6.5	1	0	14	1	240	4607	1
0	20.5	11.835	6	1	1	0	1	340	0	1
0	18.83	4.415	3	1	1	0	1	240	0	1
1	19.17	9.5	1.5	1	1	0	1	120	2206	1
0	25	0.875	1.04	1	1	0	0	160	5860	1
1	20.17	9.25	1.665	1	0	3	0	40	28	1
1	25.75	0.5	1.46	1	0	5	0	312	0	1
1	20.42	7	1.625	1	0	3	1	200	1391	1
1	39	5	3.5	1	0	10	0	0	0	1
0	64.08	0.165	0	1	0	1	1	232	100	1
1	28.25	5.125	4.75	1	0	2	1	420	7	1
0	28.75	3.75	1.085	1	0	1	0	371	0	1
1	31.33	19.5	7	1	0	16	1	0	5000	1
0	18.92	9	0.75	1	0	2	1	88	591	1
0	24.75	3	1.835	1	0	19	1	0	500	1
0	30.67	12	2	1	0	1	1	220	19	1
1	21	4.79	2.25	1	0	1	0	80	300	1
1	13.75	4	1.75	1	0	2	0	120	1000	1
0	46	4	0	1	1	0	1	100	960	1
0	44.33	0	2.5	1	1	0	1	0	0	1
1	20.25	9.96	0	1	1	0	1	0	0	1
1	22.67	2.54	2.585	1	1	0	1	0	0	1
0	60.92	5	4	1	0	4	1	0	99	1
1	16.08	0.75	1.75	1	0	5	0	352	690	1
0	28.17	0.375	0.585	1	0	4	1	80	0	1
1	39.17	1.71	0.125	1	0	5	0	480	0	1
0	30	5.29	2.25	1	0	5	0	99	500	1
1	22.83	3	1.29	1	0	1	1	260	800	1
0	22.5	8.5	1.75	1	0	10	1	80	990	0
0	28.58	1.665	2.415	1	1	0	0	440	0	0
1	45.17	1.5	2.5	1	1	0	0	140	0	0
1	41.58	1.75	0.21	1	1	0	1	160	0	0
0	57.08	0.335	1	1	1	0	0	252	2197	0
0	55.75	7.08	6.75	1	0	3	0	100	50	0
1	43.25	25.21	0.21	1	0	1	1	760	90	0
0	25.33	2.085	2.75	1	1	0	0	360	1	0
0	24.58	0.67	1.75	1	1	0	1	400	0	0
1	43.17	2.25	0.75	1	1	0	1	560	0	0
1	40.92	0.835	0	1	1	0	1	130	1	0
1	31.83	2.5	7.5	1	1	0	0	523	0	0
0	33.92	1.585	0	1	1	0	1	320	0	0
0	24.92	1.25	0	1	1	0	1	80	0	0
1	35.25	3.165	3.75	1	1	0	0	680	0	0
1	34.25	1.75	0.25	1	1	0	0	163	0	0
1	80.25	5.5	0.54	1	1	0	1	0	340	0
1	19.42	1.5	2	1	1	0	0	100	20	0
1	42.75	3	1	1	1	0	1	0	200	0
1	19.67	10	0.835	1	1	0	0	140	0	0
